quadgram	frequency
in the diffa region	17
in consultation with the	17
occupational health and safety	17
and proposed corrective action	17
which includes the auditors	17
shall have failed to	17
that arise during construction	17
monitored and reported to	17
subject to the conditions	17
article vii miscellaneous section	17
in the number of	17
and acknowledge that adb	17
the bank and other	17
the central african republic	17
workers in respect of	17
democratic republic of the	17
surrounding the project area	17
from such reports to	17
in to percent in	17
have failed to perform	17
agricultural extension and research	17
environmental management plan for	17
and at the world	17
incorporated the relevant provisions	17
the esmf will include	17
shall not award any	17
management and m e	17
statements will be audited	17
service providers to disseminate	17
the loan and grant	17
value chains development project	17
occurrence of such risks	17
the project seeks to	17
the republic of tunisia	17
any unanticipated environmental and	17
agricultural and rural sector	17
the program is also	17
on gender equality and	17
services that are provided	17
and value chain development	16
the project will target	16
have been identified as	16
the sustainability of project	16
would be provided to	16
resources are allocated for	16
condition precedent to the	16
the national agricultural investment	16
report proposed loan to	16
as well as for	16
actual or potential breach	16
reasons for rejection alternative	16
with other development partners	16
progress has been made	16
beneficiaries of the project	16
a bank acceptable to	16
to facilitate access to	16
additional event for acceleration	16
and improved access to	16
a special contractual condition	16
environmental assessment category b	16
the involuntary resettlement safeguards	16
breach of compliance with	16
the world bank website	16
source of income for	16
resettlement or indigenous peoples	16
about per cent of	16
of the loan or	16
the rehabilitation of the	16
in annex b of	16
the republic of ecuador	16
contain provisions that require	16
borrower relating to environment	16
of the quality of	16
of the most vulnerable	16
set out in this	16
the alc management company	16
event for acceleration of	16
implementation of the national	16
the final approval of	16
conditions set out in	16
the republic of guinea	16
islamic republic of pakistan	16
with the government of	16
the currency of repayment	16
interest charge and any	16
who will benefit from	16
bank document project information	16
resilient to climate change	16
lives in rural areas	16
of the power sector	16
of the loan amount	16
will also be provided	16
consistent with the bank	16
access to inputs and	16
documents integrated safeguards data	16
report and recommendation of	16
for the proposed loan	16
fund for agricultural development	16
design of the project	16
financial resources to implement	16
fulfilment of conditions precedent	16
labor law and regulations	16
strategic environmental and social	16
by ifad eb lot	16
or per cent of	16
they concern impacts on	16
it is necessary to	16
emp into the works	16
of which shall be	16
use of pesticides and	16
laws and regulations are	16
pursuant to the requirements	16
satisfactory to the fund	16
the nature of the	16
for young people and	16
at the state level	16
and disclose relevant information	16
becoming aware of the	16
increase the number of	16
and regulations are complied	16
for the private sector	16
and the selection methods	16
will not finance any	16
liabilities arising from any	16
adb with regular reports	16
resources to implement safeguards	16
is to support the	16
due to lack of	16
project is classified as	16
impacts arise during construction	16
ensure that no subproject	16
world bank document project	16
resident mission schedule description	16
below the national poverty	16
basis of the procurement	16
in the loan agreement	16
risks and impacts arise	16
institutional strengthening and capacity	16
progress with implementation of	16
the project will prepare	16
applicable workplace occupational safety	16
document project information document	16
workplace occupational safety norms	16
provisions that require contractors	16
of payment of the	16
its obligations under the	16
supported by the proposed	16
resources to fully implement	16
or potential breach of	16
islamic republic of mauritania	16
e b lo t	16
as outlined in the	16
aligned with the national	16
the republic of burundi	16
of trade and industry	16
subject to the borrower	16
as part of project	16
that will contribute to	16
on an annual basis	16
the targeted value chains	16
later than days after	16
and at the infoshop	16
aware of the breach	16
is fully consistent with	16
note to task teams	16
and evaluation of project	16
ownership of the project	16
or impacts that arise	16
concept stage report no	16
republic of the congo	16
aligned with the ifad	16
article vi effectiveness section	16
required to ensure that	16
republic of sierra leone	16
the procurement methods and	16
transformation of the economy	16
following the date of	16
therefore the parties agree	16
promptly after becoming aware	16
adequate resources are allocated	16
is this a repeater	16
financed by the project	16
is legally binding upon	16
will be used as	16
that the project would	16
financing and benefits a	16
all the provisions of	16
partial assessment decision the	16
project will build on	16
methods and the selection	16
m e and knowledge	16
viability of the power	16
of the national agricultural	16
the strengthening of the	16
to be supported under	16
the government of liberia	16
executing and implementing agencies	16
and submitted to the	16
and nutrition security of	16
the special operations loan	16
action plan for the	16
incorporate applicable workplace occupational	16
by the council of	16
public and private sectors	16
adb under the project	16
fifty thousand special drawing	16
impacts that arise during	16
america and the caribbean	16
potential breach of compliance	16
the proposed loan to	16
territory of the borrower	16
will be done through	16
disclose relevant information from	16
with the procurement guidelines	16
in the production of	16
report any actual or	16
in the results matrix	16
to respond to the	16
sectors of the economy	16
for environmental and social	16
republic of the philippines	16
in environmental and social	16
in the environmental and	16
regulations are complied with	16
funds would be provided	16
on implementation of the	16
the sustainable development goals	16
and subject to the	16
also be responsible for	16
will be made in	16
in the absence of	16
upstream and downstream of	16
focus will be on	16
legal operational policies triggered	16
include specific provisions in	16
will serve as the	16
component will also support	16
fulfilment by the borrower	16
or engage appropriate service	16
the programme will also	16
the adoption of improved	16
in an effort to	16
environmental and social assessments	16
mission schedule description of	16
agricultural value chains development	16
to the use of	16
a loan for the	16
of the project in	16
legally binding upon the	16
initial environmental examination for	16
hundred and fifty thousand	16
any actual or potential	16
charge and any other	16
to the islamic republic	16
of food security and	16
the interest charge and	16
after becoming aware of	16
currency of repayment of	16
degradation of natural resources	16
acquisition of consulting services	16
the parties agree as	16
the total number of	16
financed by adb under	16
and impacts arise during	16
at the central level	16
for contractors to comply	15
will be placed on	15
will be recruited to	15
monitoring and evaluation specialist	15
disclosed prior to appraisal	15
the success of the	15
including progress toward achieving	15
of directors approve the	15
government total amount amount	15
to a category or	15
the creation of the	15
with an interest rate	15
will work with the	15
play a key role	15
the project area and	15
to ifad within six	15
relevant provisions for contractors	15
amounts required to meet	15
technical assistance to the	15
that require contractors to	15
at the heart of	15
in selected value chains	15
by the borrower of	15
ministry of industry and	15
procured in accordance with	15
grant agreement shall have	15
the agriculture sector and	15
the feed africa strategy	15
in terms of environmental	15
the findings of the	15
project is also in	15
the provisions of section	15
other countries in the	15
per cent in the	15
provisions for contractors to	15
appraise and negotiate other	15
program implementing agency to	15
is presented in annex	15
component will also finance	15
for the construction of	15
convention on climate change	15
international fund for agricultural	15
signing of agreements with	15
and the project agreement	15
of repayment of the	15
and technical assistance to	15
persons promptly upon submission	15
the amount allocated to	15
management hereby submits this	15
the meaning of the	15
improve the competitiveness of	15
impacts on affected people	15
to affected persons promptly	15
the measures set forth	15
board of executive directors	15
human resources to fully	15
a portion of the	15
progress toward achieving key	15
are likely to be	15
promote the use of	15
necessary budgetary and human	15
of youth and women	15
the implementation of this	15
reports to affected persons	15
documents and contracts include	15
latin america and the	15
community health and safety	15
responsible for the carrying	15
and contracts include relevant	15
women and youth in	15
related to the project	15
to perform any of	15
be provided to the	15
key economic and financial	15
the strategic objectives of	15
bank group funded operations	15
under the project are	15
the loan during the	15
in accordance with paragraph	15
and the currency of	15
was approved by the	15
monitoring and evaluation mechanism	15
for bank group funded	15
the currency of payment	15
of gross domestic product	15
than per cent of	15
progress on implementation of	15
poor and vulnerable households	15
account and pay to	15
category or subcategory of	15
be responsible for overall	15
budgetary and human resources	15
the ministry of food	15
adb shall be entitled	15
physical or economic displacement	15
the project management team	15
in coordination with the	15
and a grant of	15
to implement safeguards requirements	15
plan for a subproject	15
at the national and	15
of whom are women	15
not expected to have	15
of the procurement methods	15
parties agree as follows	15
to the kingdom of	15
force of the loan	15
technical and economic advisory	15
will help to strengthen	15
will help to improve	15
on the one hand	15
logical framework country and	15
policy for bank group	15
toward achieving key gender	15
country and at the	15
such reports to affected	15
the loan shall have	15
conditions previously agreed with	15
implementation period of the	15
on physical cultural resources	15
development of agricultural and	15
signature of the loan	15
framework convention on climate	15
the execution of the	15
satisfactory to the bank	15
affected persons promptly upon	15
information sheet client information	15
measures set forth in	15
impact of the project	15
will be reflected in	15
in light of the	15
relevant provisions from the	15
policy is triggered as	15
the cost of the	15
development of agricultural entrepreneurship	15
segments of the population	15
the psc will be	15
a category or subcategory	15
are allocated for implementation	15
and the introduction of	15
methods set forth below	15
period of the project	15
in the long term	15
work closely with the	15
of the end of	15
for youth in africa	15
the amounts required to	15
of the project cost	15
per cent in to	15
estimated at per cent	15
a project steering committee	15
shall be entitled to	15
areas of the country	15
management of water resources	15
knowledge management and communication	15
into the works contract	15
repayment of the principal	15
a total cost of	15
the project is fully	15
the pam and this	15
based country strategic opportunities	15
classified as a category	15
the measures relevant to	15
the adoption of the	15
with a score of	15
the project area is	15
allocated for implementation of	15
be responsible for implementing	15
and social development plan	15
the goods and works	15
in whole or in	15
on the environment and	15
include relevant provisions for	15
the agriculture and livestock	15
the population in the	15
not triggered as the	15
it ie s components	15
to improve the quality	15
to the effects of	15
climate change mitigation and	15
and pay to itself	15
of the african development	15
as well as from	15
a national steering committee	15
this a repeater project	15
one of the highest	15
the completion of construction	15
set forth in paragraph	15
of land and water	15
loan account and pay	15
ministry of trade and	15
the bank no later	15
be entitled to withdraw	15
a value chain approach	15
is a need to	15
for value chain actors	15
during the implementation period	15
bank no later than	15
interest and commitment charges	15
grant agreement has been	15
by the borrower pursuant	15
contractors to comply with	15
an internal rate of	15
loan and the currency	15
the implementation of component	15
affected people during construction	15
of the interest charge	15
per capita income of	15
payment of the interest	15
hereby submits this report	15
for the following year	15
for the poor and	15
implementing agencies and all	15
and youth agricultural entrepreneurship	15
in the region and	15
the borrower pursuant to	15
in the framework of	15
improve the productivity of	15
approved by the bank	15
final approval of the	15
ifad within six months	15
the development and implementation	15
member countries of adb	15
subproject and all project	15
loan shall have been	15
at the time of	15
and submit to the	15
per cent of them	15
established in accordance with	15
that the anticorruption provisions	15
an integrated pest management	15
the proposed project activities	15
of the irrigation schemes	15
part of the country	15
yes this policy is	15
proposed project will be	15
loan ifad grant beneficiaries	15
environmental and social screening	15
the loan or the	15
arising from any works	15
estimated at us million	15
the system will be	15
by a grant agreement	15
beneficiaries total amount amount	15
will be paid to	15
the component will finance	15
national project steering committee	15
one of the major	15
jobs for youth in	15
health and safety issues	15
to be supported by	15
and the acquisition of	15
with the measures set	15
with the environmental and	15
each subproject and all	15
the recruitment of the	15
and negotiate other decision	15
will be taken into	15
cost by expenditure category	15
the esmf will also	15
works shall be procured	15
law and regulations and	15
the anticorruption provisions acceptable	15
world bank and the	15
of men and women	15
will contribute to improving	15
agencies and all contractors	15
for a loan for	15
for economic and social	15
the event that the	15
contracts include relevant provisions	15
and outstanding as of	14
and cleared by the	14
executive summary of the	14
be established to provide	14
with the measures relevant	14
financial reporting and audit	14
on the loan during	14
and within the meaning	14
to starting to transport	14
and services shall be	14
promotion of agricultural value	14
as defined under the	14
value chain development programme	14
the purposes of sections	14
percent of the labor	14
a high level of	14
for percent of the	14
regulations and incorporate applicable	14
socialist republic of viet	14
ministry of planning and	14
in the agriculture and	14
special operations loan agreement	14
the executive summary of	14
between adb and the	14
to put in place	14
of which will be	14
is expected to contribute	14
the plurinational state of	14
no this policy is	14
transport materials and construction	14
the borrower on each	14
is carried out in	14
approved by the board	14
loan repayable by the	14
strategic objectives of the	14
the transformation of the	14
measures relevant to the	14
the national procurement system	14
and will be implemented	14
second principal payment date	14
b lo t p	14
the date of adb	14
which shall be the	14
expected to result in	14
foreign total local foreign	14
perform any of its	14
phase of the project	14
of entry into force	14
will be under the	14
per cent and per	14
access to finance for	14
the loan agreement shall	14
the use of resources	14
the project will make	14
through dwr and moes	14
project executing agency shall	14
during the project implementation	14
information and communication technology	14
fully withdrawn as of	14
to the bank no	14
integral part of the	14
the second principal payment	14
the gender action plan	14
access to finance and	14
promotion of youth entrepreneurship	14
the interest charge for	14
date herewith between the	14
of the technical annexes	14
and promotion of agricultural	14
the total principal amount	14
been fully withdrawn as	14
borrower on each principal	14
borrower and adb and	14
the fulfilment by the	14
has been classified as	14
rationale for bank involvement	14
concern impacts on affected	14
project is to contribute	14
monitoring and evaluation framework	14
will be established in	14
agricultural land and other	14
within the territory of	14
cent and per cent	14
required to meet payments	14
borrower shall take all	14
total principal amount of	14
agricultural land to at	14
payment date following the	14
of the m e	14
will also be responsible	14
under the debt sustainability	14
be achieved through the	14
these activities will be	14
or subcategory of the	14
land and other infrastructure	14
repayable by the borrower	14
and agricultural land to	14
and other infrastructure prior	14
to the borrower and	14
help to improve the	14
are provided in the	14
including physical and price	14
also contribute to the	14
the adaptation for smallholder	14
the date of withdrawal	14
and contribute to the	14
in the design and	14
in addition to these	14
condition upon the completion	14
the social and environmental	14
component is to improve	14
improve the effectiveness of	14
principal payment date following	14
of the development of	14
regions of the country	14
in the technical annex	14
latin america and caribbean	14
debt sustainability framework grant	14
and support for the	14
the bank will be	14
local foreign total local	14
activities are implemented in	14
made it possible to	14
the borrower ministry of	14
infrastructure prior to starting	14
environmental and climate assessment	14
and the project executing	14
borrower pursuant to the	14
achieving key gender outcome	14
works and consultancy services	14
build the resilience of	14
adapt to climate change	14
required for the project	14
of the capacity of	14
republic of viet nam	14
the ability of the	14
it is also consistent	14
pam and this loan	14
date following the date	14
specified in the loan	14
the enabling environment for	14
the national average of	14
are taken into account	14
services financed by the	14
expected to lead to	14
the name of the	14
to the requirements set	14
the expected outcome of	14
based logical framework country	14
a per cent increase	14
date shall be determined	14
majority of the population	14
have been fully withdrawn	14
information and communication technologies	14
adequately record the condition	14
by the board of	14
other infrastructure prior to	14
failed to perform any	14
total local foreign total	14
east asia and pacific	14
for the execution of	14
access to credit and	14
through the ministry of	14
prepared and submitted to	14
have an impact on	14
well as on the	14
of the poorest countries	14
to transport materials and	14
finance asian development bank	14
analysis shows that the	14
decommissioning of the project	14
and decommissioning of the	14
the preparation of a	14
into the design of	14
above and provide adb	14
productivity and market access	14
and executed and delivered	14
responsible for project implementation	14
and regulatory framework for	14
borrower shall have failed	14
starting to transport materials	14
withdrawn and outstanding as	14
an important source of	14
from the world bank	14
indigenous peoples risks or	14
of food and agriculture	14
will be done by	14
regulations shall be june	14
subcategory of the table	14
the loan repayable by	14
fully consistent with the	14
interest charge for the	14
and shall cause aifsa	14
the increase in the	14
to make the first	14
for the project is	14
outcome of this component	14
market development and trade	14
upon the completion of	14
project executing agency and	14
evaluation and knowledge management	14
attention will be paid	14
prior to starting to	14
are presented in the	14
to ensure the sustainability	14
the agriculture value chain	14
peoples risks or impacts	14
in rural areas where	14
indicative project costs by	14
europe and central asia	14
be procured in accordance	14
herewith between the borrower	14
will be undertaken in	14
an estimated percent of	14
rest of the country	14
later than six months	14
charge for the purposes	14
for suspension or cancellation	14
extension and advisory services	14
target im p a	14
the borrower to adb	14
for the proposed project	14
the republic of kenya	14
in the name of	14
total project cost is	14
am ount am ount	14
the implementation period of	14
adopted and alternatives explored	14
the conditions set out	14
the original installment share	14
number of young people	14
the audited financial statements	14
agriculture value chain development	14
will be developed to	14
ensure that the anticorruption	14
for the borrower ministry	14
the project to support	14
and regulations and incorporate	14
will support the establishment	14
liable for suspension or	14
it was agreed that	14
policy is triggered because	14
of the use of	14
to have a positive	14
of the loan repayable	14
for the project are	14
make the first disbursement	14
finance of the borrower	14
loan agreement shall prevail	14
km of rural roads	14
goods and works shall	14
will be developed and	14
to factors of production	14
or indigenous peoples risks	14
productivity and value addition	14
be implemented through the	14
assessment of procurement risks	14
the risks associated with	14
as a category b	14
the government and ifad	14
to fully implement the	14
on the establishment of	14
has made significant progress	14
the ministry of industry	14
whole or in part	14
the conditions set forth	14
the project design and	14
done in accordance with	14
become liable for suspension	14
in accordance with bank	14
disbursement of loan resources	14
and works shall be	14
public goods and services	14
the development of an	14
will take place on	14
agreement and the project	14
the implementation of project	14
of soil and water	14
irrigation and water development	14
project condition upon the	14
the level of the	14
set forth in this	14
it is consistent with	14
substituted by the term	14
with the aim to	14
be a special contractual	14
if the proceeds of	14
reports will be submitted	13
to at least their	13
amount international development association	13
a grant of ua	13
executing agencies to ensure	13
public finance management system	13
beneficiaries government total amount	13
be determined by adb	13
solutions adopted and alternatives	13
building resilience in africa	13
based on lessons learned	13
poverty reduction and shared	13
in the informal sector	13
aligned with the country	13
and annual progress reports	13
in the rural sector	13
financial and accounting management	13
one of the world	13
cent of the ifad	13
amount amount amount i	13
and the strengthening of	13
shall be substituted by	13
environmental assessment audit management	13
and food security program	13
as the case may	13
for the first time	13
than the national average	13
that the boards of	13
which involves environmental impacts	13
the emp into the	13
and social management report	13
the absence of a	13
and shall cause the	13
on affected people during	13
republic of sri lanka	13
at least their pre	13
it is anticipated that	13
and institutional context the	13
that they are consistent	13
the percentage of the	13
put in place to	13
with the exception of	13
project will be the	13
takes into account the	13
young men and women	13
inclusive and sustainable growth	13
be approved by the	13
provide the borrower with	13
civil works to be	13
financing international bank for	13
any of its obligations	13
board of directors on	13
approximately percent of the	13
democratic socialist republic of	13
the project will assist	13
project complies with the	13
contribute to the improvement	13
category ifad loan ifad	13
vulnerable to the impacts	13
external monitoring and evaluation	13
at an average of	13
promotion of agricultural entrepreneurship	13
on a scale of	13
the fact that the	13
will be detailed in	13
to support the government	13
extent that they are	13
there is a strong	13
through a competitive process	13
technical assistance and capacity	13
there will be a	13
socialist republic of sri	13
a project implementation unit	13
inclusive value chain development	13
shall have become liable	13
months following the first	13
be done in accordance	13
complies with the applicable	13
gap is implemented in	13
project information sheet client	13
the borrower shall furnish	13
it will be implemented	13
is attached as an	13
with the schedule agreed	13
administrative and financial manager	13
from the date of	13
borrower with a written	13
and building resilience in	13
good agricultural practices and	13
by the central bank	13
the borrower will prepare	13
an annual growth rate	13
of implementation of the	13
the government of india	13
or cause the program	13
and technical and financial	13
sustainability of the investments	13
and other development partners	13
to be financed include	13
hundred thousand special drawing	13
by the fact that	13
economic growth has been	13
accordance with the schedule	13
in agricultural production and	13
the borrower has prepared	13
to promote the development	13
available necessary budgetary and	13
quantity and quality of	13
by the bank group	13
on the results of	13
poverty in rural areas	13
be involved in the	13
and lessons reflected in	13
by an average of	13
this project will be	13
impact of climate change	13
means the gender action	13
the nutritional status of	13
assessment audit management plan	13
loan during the implementation	13
it is important to	13
will not lead to	13
will have a positive	13
ifad guidelines on project	13
annex b of volume	13
pest and disease management	13
in order to facilitate	13
borrower in accordance with	13
sustainability of the project	13
the borrower shall apply	13
accounts of the executing	13
the project area will	13
from the government of	13
by the bank for	13
to the commencement of	13
hundred thousand united states	13
by the minister of	13
and source of financing	13
from the implementation of	13
is to increase the	13
is to increase agricultural	13
land to at least	13
and climate assessment procedures	13
value chains will be	13
are presented in tables	13
record the condition of	13
prior to the commencement	13
youth and women in	13
climate variability and change	13
value chain actors in	13
global agriculture and food	13
will ensure that the	13
prepare and submit to	13
component will be implemented	13
amount amount amount a	13
support for the implementation	13
presented in annex b	13
the government of tanzania	13
number of jobs created	13
in paragraph above and	13
as the basis for	13
and climate resilience of	13
the program will finance	13
environmental or social impacts	13
the event of an	13
borrower to adb that	13
monitoring and evaluation officer	13
the republic of niger	13
as well as their	13
the tadb will be	13
the assessment of the	13
the united nations development	13
water supply and sanitation	13
is classified in category	13
financial management will be	13
forth in the gap	13
attention will be given	13
monitoring and evaluation systems	13
between men and women	13
ministry of agriculture will	13
of the executing and	13
the extent that they	13
the implementation of these	13
environment and social management	13
forth in the iee	13
hectares of arable land	13
food safety and quality	13
project executing agency has	13
from the emp into	13
the bank for the	13
the executing agency will	13
will also seek to	13
be substituted by the	13
the project and all	13
months of the end	13
from the private sector	13
to reduce rural poverty	13
recruited on a competitive	13
group financing counterpart funding	13
irrigation and drainage infrastructure	13
access to water and	13
the baseline situation and	13
framework country and project	13
to this financing agreement	13
source amount international development	13
at the core of	13
as well as support	13
government of the republic	13
the size of the	13
project will also contribute	13
the emps and the	13
is highly vulnerable to	13
have become liable for	13
will be located in	13
borrower shall not award	13
exclusive of taxes and	13
of the ifad reference	13
alternatives considered and reasons	13
annual work plan and	13
investment project financing borrower	13
will be headed by	13
and implementing agencies and	13
fishing and forestry sector	13
shall be june or	13
the project will strengthen	13
the involvement of the	13
the life of the	13
execution of the project	13
make available necessary budgetary	13
first disbursement of loan	13
provisions from the emp	13
forth in paragraph above	13
development of the agricultural	13
will provide support to	13
of poor rural people	13
grant agreement between the	13
risks associated with the	13
integrated soil fertility management	13
the executing and implementing	13
private sector development and	13
adopted by the government	13
of climate change on	13
ministries in charge of	13
to an increase in	13
the use of pesticides	13
the loan regulations means	13
nutrition and food security	13
and preparation of the	13
reduction and shared prosperity	13
will be audited annually	13
evaluation will be conducted	13
is higher than the	13
force of the financing	13
be implemented in three	13
implementation and monitoring of	13
the transition support facility	13
the world bank to	13
letter to the borrower	13
has agreed to provide	13
the conditions precedent to	13
taxes and duties imposed	13
for the operation and	13
per cent increase in	13
submit to the fund	13
provide the bank with	13
costs are estimated at	13
the letter to the	13
the case may be	13
agencies to ensure that	13
the condition of roads	13
monitoring and evaluation will	13
of the loan contract	13
paragraph above and provide	13
of the appraisal report	13
and nutrition security in	13
project region estimated appraisal	13
the executing agency and	13
experience and lessons reflected	13
impact on the environment	13
to percent of the	13
based on the results	13
relationship to cpf the	13
impacts on the environment	13
implemented in compliance with	13
support in the form	13
the cashew nut sector	13
will be disbursed in	13
ensure that they are	13
growth rate of the	13
interest rate per annum	13
this component will focus	13
specified in this loan	13
and sustainable management of	13
group financing international bank	13
for monitoring and evaluation	13
bank group financing counterpart	13
shall be repayable on	13
amount allocated to category	13
under the age of	13
on lessons learned from	13
the sustainability of investments	13
adverse impacts on the	13
that the project executing	13
will be made available	13
guide the preparation of	13
a limited number of	13
the borrower with a	13
programme will support the	13
on the agricultural sector	13
technical solutions adopted and	13
the conditions stipulated in	13
of the lake chad	13
will be made to	13
as well as other	13
per cent of households	13
development and promotion of	13
total world bank group	13
the financing of the	13
the project impact area	13
management and monitoring evaluation	13
of women and youths	13
in the selected value	13
policy on gender equality	13
preliminary description concept description	12
this subcomponent will support	12
plan for the first	12
of the loan are	12
ifad and the lending	12
the promotion of value	12
to the success of	12
participation of women in	12
financing gap of us	12
appraisal stage report no	12
in accordance with op	12
are located in the	12
the international monetary fund	12
amount equivalent to three	12
financed by the government	12
opinion or opinions to	12
to the creation of	12
the vast majority of	12
will be guided by	12
from subsistence to commercial	12
is also expected to	12
of the agriculture and	12
made in accordance with	12
recommends that the boards	12
financial management and disbursement	12
and capacity building activities	12
which a currency conversion	12
ministry of agriculture total	12
contribute to the reduction	12
the horn of africa	12
due to climate change	12
will be limited to	12
international standards on auditing	12
for the selection and	12
the borrower has also	12
in a context of	12
programme will be implemented	12
at the ministry of	12
ifad grant beneficiaries borrower	12
the ea to the	12
be made in accordance	12
the opinion or opinions	12
amount of one hundred	12
shall be the dollar	12
explored and reasons for	12
financed by the idb	12
to the united nations	12
or restriction of access	12
of distributing the executive	12
development of agricultural infrastructure	12
the economic rate of	12
approve the proposal to	12
and services will be	12
project will also provide	12
through the introduction of	12
and in line with	12
the gross domestic product	12
project and all project	12
and food security in	12
the bank group will	12
for the provision of	12
during the implementation phase	12
shall and shall cause	12
ount am ount am	12
have been taken into	12
involved in project implementation	12
the financial management of	12
per cent of its	12
accordance with international standards	12
ea to the executive	12
a significant impact on	12
generated by the project	12
following the first disbursement	12
the public procurement code	12
source amount borrower recipient	12
in the logical framework	12
of the ea to	12
value addition and marketing	12
summary of screening of	12
involves environmental impacts until	12
applicable to all or	12
the following report and	12
opinions to be furnished	12
contribute to improving the	12
project yes no tbd	12
be furnished to adb	12
increase the resilience of	12
subject to the fulfilment	12
of the provisions of	12
not finance any activities	12
ministry of natural resources	12
agriculture value chains development	12
the adoption of good	12
will be the ministry	12
to the executive directors	12
amounts referred to in	12
to deduct any amounts	12
deemed acceptable by the	12
project accounts will be	12
an assessment of the	12
as adb shall reasonably	12
governance and institutional capacity	12
add rows as needed	12
a currency conversion applies	12
deduct any amounts referred	12
financial terms and conditions	12
soil and water resources	12
will be established at	12
the annual workplan and	12
capacity of the ministry	12
united nations development programme	12
and the improvement of	12
will also be supported	12
and economic advisory assistance	12
to an approved currency	12
project design and implementation	12
operations concessional loan agreement	12
shall include specific provisions	12
public and private investments	12
of agricultural production and	12
the republic of sierra	12
agreement shall be subject	12
rate of per cent	12
reviewed and cleared by	12
of screening of environmental	12
natural resources and rural	12
objectives of the project	12
in agricultural research and	12
monitoring and evaluation reports	12
procurement policy for bank	12
adb shall reasonably request	12
poor rural women and	12
of and compliance with	12
set up by the	12
the actors involved in	12
will be coordinated by	12
be in accordance with	12
the amount of eur	12
lending policies and criteria	12
a member of the	12
be the ministry of	12
according to the world	12
social impacts and risks	12
will be linked to	12
is expected to provide	12
the policies for the	12
access to electricity and	12
in the capital of	12
percent of gdp and	12
be placed under the	12
live below the poverty	12
to the following modifications	12
of all or any	12
increasing agricultural productivity and	12
multilateral development bank fee	12
the lowest in the	12
submits the following report	12
table indicative project costs	12
implementing agency to ensure	12
a review of the	12
and the lending policies	12
the basis for the	12
provided for in the	12
under the oversight of	12
finance activities related to	12
be audited annually by	12
shall be conditional upon	12
will be determined during	12
are in line with	12
is to strengthen the	12
in order to address	12
the project will generate	12
services to be financed	12
review of the bank	12
of the original project	12
and improvement of the	12
prior and informed consent	12
to the requirements of	12
of agriculture production systems	12
ffolder b name d	12
loan are used to	12
on any principal payment	12
of the target group	12
to all or any	12
in the world bank	12
program is consistent with	12
health and safety of	12
percent in to percent	12
to the promotion of	12
value chain actors to	12
to which a currency	12
in the letter to	12
of the green morocco	12
of the monitoring and	12
of the rural economy	12
for private sector development	12
million three hundred thousand	12
the loan agreement and	12
that the executing agency	12
the selection of the	12
date of distributing the	12
to economic growth and	12
meet the needs of	12
does not have any	12
comprehensive africa agriculture development	12
agricultural assets or services	12
experience and lessons learned	12
the international fund for	12
sustainable agricultural development and	12
and the net present	12
the lending policies and	12
in order to promote	12
the case of the	12
the social and economic	12
be made available to	12
meetings were held with	12
of agriculture and water	12
out in this report	12
tbd environmental assessment op	12
value chains in the	12
social impacts of the	12
the assessment of procurement	12
access to drinking water	12
a loan of us	12
the close of the	12
steering committee will be	12
the provision of technical	12
per cent of rural	12
of the economy and	12
the ifad reference interest	12
and submitted to adb	12
the general conditions for	12
of the proposed operation	12
farmers as well as	12
per cent of all	12
work plan and budget	12
ifad reference interest rate	12
net of taxes and	12
an interest rate per	12
percent of the poor	12
to reduce poverty and	12
access to productive assets	12
june or such other	12
climate change in the	12
consistent with the national	12
for the first months	12
of the labour force	12
in response to the	12
will be placed under	12
based on the above	12
benefits of the project	12
and market access for	12
purpose of the project	12
to mitigate this risk	12
the arbitral tribunal shall	12
the republic of paraguay	12
the department of agriculture	12
at the household level	12
will be developed in	12
council of ministers of	12
the gap is implemented	12
to the conditions stipulated	12
the borrower undertakes to	12
as defined by the	12
no tbd environmental assessment	12
the need to ensure	12
borrower and adb shall	12
a grant of us	12
of the financial and	12
standards and the borrower	12
to be used for	12
and rule of law	12
the need to strengthen	12
to the national economy	12
audit management plan other	12
in the provinces of	12
and social impact assessments	12
loan of ua million	12
will meet at least	12
the republic of india	12
a change of the	12
activities as well as	12
quarterly and annual progress	12
borrower shall and shall	12
first phase of the	12
be june or such	12
and will be responsible	12
any amounts referred to	12
gender equality and diversity	12
the country has a	12
project will provide support	12
on the experience of	12
integrated natural resource management	12
be one of the	12
objective is to contribute	12
access to factors of	12
year year year total	12
previously agreed upon with	12
agriculture and market access	12
with the government and	12
environment and natural resources	12
to be furnished to	12
screening of environmental and	12
fulfilment of the following	12
mitigation measures will be	12
cent of the country	12
contribute to achieving the	12
of the rural poor	12
executing agency to ensure	12
be financed by an	12
in said approved currency	12
to be implemented in	12
the modernization of the	12
the project will therefore	12
by the executive board	12
pcu will be responsible	12
the component will support	12
cost by category of	12
adb and disclose relevant	12
account in united states	12
terms of reference for	12
distributing the executive summary	12
the beginning of the	12
are expected to increase	12
of annual work plans	12
social and environmental impacts	12
the loan are used	12
with national agricultural research	12
cleared by the bank	12
implemented by the ministry	12
will depend on the	12
or opinions to be	12
consolidated financial statements will	12
reports to adb and	12
date of entry into	12
of the population and	12
the use of improved	12
access to natural resources	12
the borrower in accordance	12
accounts will be opened	12
as specified in the	12
during the rainy season	12
the event of a	12
by the bank in	12
has been made in	12
the need for a	12
is to enhance the	12
