entity	type	frequency
project coordinator	ORG	3
project coordination and management	ORG	3
project coordination unit	ORG	3
programme steering committee	ORG	3
program steering committee	ORG	3
productive partnerships	ORG	3
productive	ORG	3
poyang lake basin	LOC	3
pool	GPE	3
policy dialogue	ORG	3
podgorica	GPE	3
plateau	GPE	3
physical cultural resources	ORG	3
people’s committee	ORG	3
party	ORG	3
parakou	GPE	3
panama	GPE	3
psta 4 priority area 4	ORG	3
psge	ORG	3
psas	ORG	3
proader	ORG	3
prise	ORG	3
prf	ORG	3
pracas	PERSON	3
ppr	ORG	3
pnrcp	ORG	3
pmksy	PERSON	3
pmcu	ORG	3
pm&e	ORG	3
pll	ORG	3
pledp	ORG	3
pima	ORG	3
pfcu	ORG	3
pdzta-bk	ORG	3
pdp	ORG	3
pdipc	ORG	3
pd	ORG	3
pasidp	ORG	3
pasec	ORG	3
pasa	ORG	3
parfaci	ORG	3
papi	ORG	3
pana	ORG	3
paiva	ORG	3
padl diffa	PERSON	3
padec	ORG	3
padaz zinder	GPE	3
pace	ORG	3
pa-rgfp	ORG	3
p166279	PERSON	3
p166222	GPE	3
ordinary capital resources	ORG	3
ombella mpoko	PERSON	3
objectives	GPE	3
oss	ORG	3
op/bp	ORG	3
ogm	ORG	3
oc-pe	ORG	3
nyavyamo	GPE	3
northwest	ORG	3
north-west	GPE	3
north kordofan states	GPE	3
ninh thuan provincial people’s committee	ORG	3
nimba	GPE	3
nigerians	PERSON	3
niger basin	LOC	3
ndjamena	GPE	3
nay pyi taw	ORG	3
national institute of statistics	ORG	3
national agriculture investment plan	ORG	3
national agricultural policy	ORG	3
national agricultural credit fund	ORG	3
national adaptation programme of action (napa	ORG	3
namangan	GPE	3
nwa	ORG	3
ntp-nrd	ORG	3
nsdp	ORG	3
nsa	ORG	3
nptp	ORG	3
nmmu	ORG	3
nirsal	ORG	3
nicadapta	ORG	3
nfcs	ORG	3
nerica	ORG	3
nccrs	ORG	3
nccap	ORG	3
ncb	ORG	3
nba	ORG	3
nats	ORG	3
narf	ORG	3
naep	ORG	3
nad	ORG	3
muyinga province	GPE	3
municipal subprojects	PERSON	3
multilateral development bank	ORG	3
mtera	ORG	3
mount lebanon	GPE	3
moundou	GPE	3
moruca	ORG	3
mohale	PERSON	3
molf	ORG	3
mogcsp	ORG	3
mitigation measures	ORG	3
ministry of trade and industry	ORG	3
ministry of local government	ORG	3
ministry of industry	ORG	3
ministry of humanitarian affairs	ORG	3
ministry of agriculture and livestock total	ORG	3
ministry of agriculture and livestock	ORG	3
ministry of agriculture and irrigation	ORG	3
ministry of agriculture and forestry	ORG	3
ministry of agriculture financing	ORG	3
millennium development goals	ORG	3
mid-term review	ORG	3
micro, small and medium agribusiness enterprises	ORG	3
meiktila	GPE	3
mbale	GPE	3
mazar-e-sharif	GPE	3
mazar sharif	PERSON	3
mauritius	ORG	3
maturity premium	PERSON	3
maryland	GPE	3
maputo province	GPE	3
manual	PERSON	3
mainé-soroa	ORG	3
magway region	GPE	3
macias	ORG	3
mticm	ORG	3
mrrd	ORG	3
mpp	ORG	3
mpmeas	PERSON	3
mpmea	ORG	3
mopi	ORG	3
moald	ORG	3
mirah	PERSON	3
minecofin	PERSON	3
miga	ORG	3
middle east	LOC	3
midas	ORG	3
mics	ORG	3
micaf	ORG	3
mg	ORG	3
medd	ORG	3
mdtf	ORG	3
mdr	ORG	3
mdpu	ORG	3
mdd	ORG	3
mcs	ORG	3
marndr/mde	ORG	3
map	ORG	3
malgp	ORG	3
malf	ORG	3
maiea	ORG	3
mafwm	PERSON	3
luribay	GPE	3
los ríos	GPE	3
loan agreements and guarantee agreements	ORG	3
livestock	ORG	3
litani river	LOC	3
leribe	PERSON	3
lema	ORG	3
lake victoria	LOC	3
lagos	GPE	3
laccie	GPE	3
lur	ORG	3
lta	ORG	3
loan agreement	ORG	3
lndc	ORG	3
lmp	ORG	3
lgu	ORG	3
lga	ORG	3
lemc	ORG	3
legen	ORG	3
lanagro	ORG	3
kédougou	GPE	3
kwilu province	GPE	3
kumasi	GPE	3
krishna	PERSON	3
konya	GPE	3
kogi state	GPE	3
knowledge	ORG	3
kinnaur	GPE	3
kiffa	PERSON	3
khartoum	PERSON	3
kharif	GPE	3
ketou	GPE	3
kenya marine fisheries	ORG	3
kati	GPE	3
karusi	PERSON	3
karaman	GPE	3
kamsar	PERSON	3
kampong thom	GPE	3
kabuyanda	GPE	3
kmc	ORG	3
kdsdp	ORG	3
jfpr	GPE	3
iowa	GPE	3
involuntary resettlement safeguards	ORG	3
international fund for agricultural development	ORG	3
international agricultural research	ORG	3
instrument ua	ORG	3
institutional arrangements	ORG	3
increase	ORG	3
iwumd	ORG	3
iuu	ORG	3
iram	ORG	3
ipd-sa	ORG	3
insae	ORG	3
inr	ORG	3
inpa	GPE	3
impif	ORG	3
ihr	ORG	3
ifrs	ORG	3
ifad project procurement guidelines	ORG	3
ifad guidelines on project audits	ORG	3
ifad eb	ORG	3
ifad borrower: republic of	ORG	3
ifad 1 recommendation	ORG	3
idev	ORG	3
ida credit	ORG	3
icrisat	ORG	3
icraf	ORG	3
iccs	ORG	3
iamwarm	ORG	3
ia	ORG	3
hunger	ORG	3
houaphan	GPE	3
high-5	ORG	3
health and safety 14	ORG	3
health and safety 13	ORG	3
haouz	GPE	3
hambantota	GPE	3
hajjah	GPE	3
hu	ORG	3
hpi	ORG	3
hlc	ORG	3
hib	ORG	3
hcp	ORG	3
haccp	ORG	3
ha-l1107	ORG	3
guizhou	GPE	3
groundnuts	PERSON	3
groundnut	PERSON	3
great lakes	LOC	3
grande-anse	ORG	3
goudoumaria	PERSON	3
godavari	PERSON	3
goss	ORG	3
global agriculture and food security program	ORG	3
gilgit	GPE	3
georgetown	GPE	3
gender expert	PERSON	3
gambia	GPE	3
gabu	PERSON	3
gsu06	GPE	3
gsop	ORG	3
grprp	ORG	3
goi	ORG	3
gfm	ORG	3
gfcs	ORG	3
gapi	ORG	3
g. risks	PERSON	3
fund management unit	ORG	3
ford	ORG	3
food security and nutrition project	ORG	3
food department	ORG	3
fixed spread	ORG	3
fisheries total	ORG	3
fisheries	ORG	3
financial management (fm	ORG	3
financial intermediaries	ORG	3
financial controller	ORG	3
financial contingencies	ORG	3
fier	ORG	3
federal democratic republic of ethiopia	GPE	3
favrelière	ORG	3
farmer organizations	ORG	3
farmer field schools	ORG	3
fadama	PERSON	3
fsrp	ORG	3
fonap	ORG	3
fnpv	ORG	3
fmard	ORG	3
fies	ORG	3
fgn	ORG	3
ffa	ORG	3
fareps	ORG	3
fao south sudan	ORG	3
fad	ORG	3
faa	ORG	3
f. poverty	ORG	3
european commission	ORG	3
environmental and social management plan	ORG	3
environmental aspects poverty	ORG	3
entre ríos	GPE	3
endo	ORG	3
egypt	GPE	3
economic and monetary union	ORG	3
eastern equatoria	ORG	3
east asia	LOC	3
ess	ORG	3
esms	ORG	3
escps	PERSON	3
eo	ORG	3
ensan	ORG	3
enpv	ORG	3
enable youth program	ORG	3
empoderar	ORG	3
egdpo	ORG	3
ees	ORG	3
eb 2015/116/r.19/rev.1	ORG	3
eb 2015/115/r.13	ORG	3
e. supervision 28	PERSON	3
e. supervision 24	ORG	3
e. supervision 23	PERSON	3
e. poverty	PERSON	3
e. initial environmental	ORG	3
duchang	GPE	3
doukkala	GPE	3
dosso-tillaberi	PERSON	3
dosso	PERSON	3
donors	ORG	3
dire dawa	PERSON	3
dfid	LOC	3
dev	PERSON	3
department for international development (dfid	ORG	3
demography	ORG	3
decree n	ORG	3
damais	GPE	3
dak nong provincial people’s committee	ORG	3
dairy	ORG	3
dwri	ORG	3
dscse	ORG	3
dpv	ORG	3
dpn-medd	ORG	3
dpmi	ORG	3
dpbd	ORG	3
dpae	ORG	3
dp	ORG	3
dlls	ORG	3
djt	ORG	3
dincap	ORG	3
dgpv	ORG	3
dgpae	ORG	3
dgefc	ORG	3
dep	ORG	3
denr	ORG	3
defr	ORG	3
deelcpn	GPE	3
ddfca	ORG	3
dda	ORG	3
dbn	ORG	3
dapees	ORG	3
daly	ORG	3
d. sustainability 40	PERSON	3
d. sustainability 38	PERSON	3
d. sustainability 28	PERSON	3
d. concept description a.	PERSON	3
d. concept description 23	PERSON	3
cuvette	PERSON	3
country strategy paper	ORG	3
counties	GPE	3
council of ministers	ORG	3
couffo	GPE	3
cotonou	PERSON	3
cote d''ivoire	PERSON	3
coris bank international	ORG	3
cooperative development agency	ORG	3
conventions	ORG	3
conditions precedent to entry into force	ORG	3
conakry	ORG	3
components	ORG	3
committee	ORG	3
climate smart agriculture program	ORG	3
clearing	GPE	3
chókwé	PERSON	3
chittoor	PERSON	3
central equatoria	ORG	3
central bank	ORG	3
central america	LOC	3
catholic relief services	ORG	3
carambola	ORG	3
caraga	ORG	3
cabinet	ORG	3
csd/rnd	ORG	3
crip	ORG	3
credd	ORG	3
cprf	ORG	3
cpavcdp	ORG	3
components	ORG	3
cobf	ORG	3
cnrada	ORG	3
clra	ORG	3
clmu	ORG	3
cip	ORG	3
cgs	ORG	3
cgp	ORG	3
cgiar climate research for africa	ORG	3
cftp	LOC	3
ces	ORG	3
ccnpp	ORG	3
ccat	ORG	3
capex	ORG	3
c. programme	ORG	3
c. program development objective(s	ORG	3
burkina	GPE	3
bulambuli	GPE	3
bukedea	GPE	3
bujumbura	GPE	3
budget	ORG	3
bravo-ureta	ORG	3
brakna-ouest	ORG	3
boucle du mouhoun	PERSON	3
bossemptélé	ORG	3
borrower, bank	ORG	3
borgou	PERSON	3
bong	GPE	3
boké region	GPE	3
bol	ORG	3
black sea	LOC	3
bissan	ORG	3
bihar	PERSON	3
bie	GPE	3
berlin	GPE	3
benue	PERSON	3
benishangul gumuz	PERSON	3
beneficiaries	GPE	3
bekaa	GPE	3
beans	PERSON	3
battambang	GPE	3
basic project data country:	ORG	3
basic project data country project id parent project id	ORG	3
basic program data ops table country project id parent project id	ORG	3
bank of tanzania	ORG	3
bank of ghana	ORG	3
bank standard solicitation documents	ORG	3
bank standard	ORG	3
bank policies 	ORG	3
bank loan and guarantee agreements	ORG	3
bank group policies	ORG	3
baltistan	GPE	3
balkh	PERSON	3
baixo limpopo	ORG	3
baalbeck	PERSON	3
bunee	ORG	3
brn	ORG	3
bpp	PERSON	3
bl-ni	ORG	3
bcp-progeba	ORG	3
bcp	ORG	3
bcm	ORG	3
bagri	ORG	3
bac	ORG	3
b.5.3.2	ORG	3
australia	GPE	3
atlantic	LOC	3
atacora	PERSON	3
annex b4	GPE	3
angolan	GPE	3
amapá	GPE	3
agro	GPE	3
agricultural development project	ORG	3
agreement	ORG	3
agency	ORG	3
afdb group	ORG	3
addis ababa	GPE	3
adaptation fund	ORG	3
accountant	GPE	3
awp/b.	ORG	3
atn/oc-14750-rg	ORG	3
armp	ORG	3
ar&d	ORG	3
appsa	ORG	3
apmt	ORG	3
apb	ORG	3
ansut	ORG	3
ande	ORG	3
amis	ORG	3
amee	ORG	3
amd	ORG	3
alis	ORG	3
alc management company	ORG	3
alc	ORG	3
aguipe	ORG	3
agpi	ORG	3
african development fund	ORG	3
af-1	ORG	3
ael	ORG	3
adr	ORG	3
adic-nafaia	ORG	3
adb green climate fund	ORG	3
adb asian development bank	ORG	3
adazz	ORG	3
ad2m-ii	PERSON	3
acd	ORG	3
acc	ORG	3
ac	ORG	3
abe	ORG	3
aar	GPE	3
aamp	ORG	3
a.1	ORG	3
5.2.4	ORG	3
5.2.3	ORG	3
4.5.4	ORG	3
4.2.1	ORG	3
3.2.3 climate	ORG	3
3.1.4 economic analysis	ORG	3
2.5.3	ORG	3
 farm school	ORG	2
• planning	ORG	2
’s democratic republic	GPE	2
°c	ORG	2
xii	ORG	2
treasury	ORG	2
this report and recommendation	ORG	2
the north east region	LOC	2
the national standard solicitation documents	ORG	2
the lake basin	LOC	2
the goat basin	LOC	2
the east coast	LOC	2
the youth employment strategy	ORG	2
the world trade organization	ORG	2
the world organization for animal health	ORG	2
the world group’s environmental, health and safety guidelines	ORG	2
the world group’s environmental, health and safety	ORG	2
the world food program	ORG	2
the world economic forum	ORG	2
the world bank’s website	ORG	2
the world bank’s rapid response	ORG	2
the world bank’s human capital index	ORG	2
the world bank safeguards	ORG	2
the world bank inspection panel	ORG	2
the world bank group’s	ORG	2
the world bank doing business	ORG	2
the working committee	ORG	2
the western states agribusiness project	ORG	2
the western hemisphere	LOC	2
the water efficient maize for africa	ORG	2
the wbg social response framework	ORG	2
the wamu banking commission	ORG	2
the volta basin authority	ORG	2
the value chains development fund	ORG	2
the upper east	LOC	2
the upgrading bureau (bmn	ORG	2
the united nations security council	ORG	2
the united nations industrial development organization	ORG	2
the united nations human development index	ORG	2
the united nations development program	ORG	2
the united kingdom’s	GPE	2
the unit for rural change	ORG	2
the un food and agriculture organization	ORG	2
the transition support fund	ORG	2
the transformation of agriculture sector program	ORG	2
the tourism handicraft center	ORG	2
the third party monitoring	ORG	2
the technologies for african agricultural transformation (taat) programme	ORG	2
the technical assistance project for sustainable agricultural development	ORG	2
the technical annexes b2 volume ii	ORG	2
the taat framework program	ORG	2
the sustainable development and inclusive growth strategy	ORG	2
the sustainable development strategy committee	ORG	2
the support programme for the transformation of guinean agriculture and youth agricultural entrepreneurship	ORG	2
the strategy for economic recovery of the agriculture sector	ORG	2
the state social registry	ORG	2
the state rural livelihoods missions	ORG	2
the state fund	ORG	2
the state bank of pakistan	ORG	2
the standard operating procedures	ORG	2
the special program to democratize productivity	ORG	2
the special operations loan regulations of adb	ORG	2
the special agro-industrial processing zones development programme	ORG	2
the special agro-industrial processing zone	ORG	2
the sovereign fund for strategic investments	ORG	2
the sovereign fund for strategic investment	ORG	2
the southern african customs union	ORG	2
the southern africa development community	ORG	2
the south of cameroon	LOC	2
the south pacific longline fishery	LOC	2
the south department	ORG	2
the south agricultural hub	LOC	2
the sourou valley	LOC	2
the social assessment	ORG	2
the smallholder tea and rubber revitalization project	ORG	2
the siliana territorial development value chain promotion project republic of tunisia siliana territorial development value chain promotion project	ORG	2
the sierra leone agricultural research institute	ORG	2
the shire river basin	LOC	2
the shire river basin	LOC	2
the shire river	LOC	2
the servicing and maintenance fund	ORG	2
the sensitivity analysis	ORG	2
the senior national technical assistant	ORG	2
the semi-arid tropics	ORG	2
the sector framework document on agriculture and natural resources management	ORG	2
the secretariat for agricultural protection	ORG	2
the savannah zone agricultural productivity improvement project	GPE	2
the sagcot catalytic trust fund	ORG	2
the rwanda national dairy platform	ORG	2
the rwanda council of veterinary doctors	ORG	2
the rural sector development strategy	ORG	2
the rural productive inclusion project	ORG	2
the rural engineering technical office	ORG	2
the rural development bureau	ORG	2
the rural development bank	ORG	2
the rural association of paraguay	ORG	2
the rockefeller foundation	ORG	2
the risk assessment action plan	ORG	2
the rice farming development programme	ORG	2
the reserve bank of india	ORG	2
the republic of sudan	GPE	2
the republic of south africa	GPE	2
the republic of nepal for samriddhi	GPE	2
the republic of namibia	GPE	2
the republic of mozambique	GPE	2
the republic of mali	GPE	2
the republic of guinea- bissau	GPE	2
the republic of côte d’ivoire	GPE	2
the republic of côte	GPE	2
the regional development board	ORG	2
the regional commission for agricultural development	ORG	2
the regional climate resilience investment plan	ORG	2
the real property rights registry	ORG	2
the provincial councils	ORG	2
the province of balochistan	GPE	2
the project report	ORG	2
the project paper	ORG	2
the project management team	ORG	2
the project implementing unit	ORG	2
the project development objective	ORG	2
the project completion report	ORG	2
the project area	LOC	2
the programme management unit	ORG	2
the program execution unit	ORG	2
the program executing agency and program implementing agency	ORG	2
the productive partnerships	ORG	2
the procurement policy for bank group-financed operations	ORG	2
the procurement policy for bank group funded operations	ORG	2
the procurement policy for bank group	ORG	2
the priority intervention areas	ORG	2
the primary sector mission	ORG	2
the poyang lake basin	LOC	2
the portugal trust fund	ORG	2
the plurinational state of	ORG	2
the planning and development department	ORG	2
the philippines development plan	ORG	2
the people’s republic of bangladesh sher-e-bangla	GPE	2
the pdcv-riz	ORG	2
the ordu province	GPE	2
the ordinary operations loan regulations applicable	ORG	2
the ordinary operations	ORG	2
the ordinary capital	ORG	2
the operational manual	ORG	2
the onlending agreements	ORG	2
the office of the deputy	ORG	2
the office of evaluation and oversight	ORG	2
the northwest smallholder agricultural development project	ORG	2
the northern smallholder livestock commercialization project	ORG	2
the northern savannah zone	GPE	2
the northern region	LOC	2
the northern mountains	LOC	2
the north-west	LOC	2
the north east participating states of borno	LOC	2
the niger delta	LOC	2
the netherlands development organization	ORG	2
the natural resource management project	ORG	2
the natural resource management programme	ORG	2
the natural disaster mitigation program	ORG	2
the national youth policy	ORG	2
the national youth institute	ORG	2
the national technical committee	ORG	2
the national strategy for equality and poverty eradication	ORG	2
the national strategic agriculture development plan	ORG	2
the national statistics institute	ORG	2
the national social registry	ORG	2
the national service for agricultural health and food safety	ORG	2
the national rural livelihood mission	ORG	2
the national public procurement commission	ORG	2
the national project steering committee	ORG	2
the national project coordinator	ORG	2
the national procurement system	ORG	2
the national poverty registration system	ORG	2
the national plan for agricultural investment and food and nutritional security	ORG	2
the national mission management unit	ORG	2
the national microfinance strategy	ORG	2
the national meteorology agency	ORG	2
the national level	ORG	2
the national irrigation program	ORG	2
the national irrigation institute	ORG	2
the national institute of economics and agricultural research	ORG	2
the national institute of agricultural research (inpa	ORG	2
the national institute for statistics	ORG	2
the national gender policy	ORG	2
the national food security strategy	ORG	2
the national food security programme	ORG	2
the national fertilizer subsidy program	ORG	2
the national employment strategy	ORG	2
the national economic development authority	ORG	2
the national development strategy	ORG	2
the national development plan ii	ORG	2
the national crusade	ORG	2
the national council for scientific and technological development	ORG	2
the national coordination unit	ORG	2
the national coordination committee	ORG	2
the national comprehensive development plan	ORG	2
the national commission on indigenous peoples	ORG	2
the national anti-corruption strategy	ORG	2
the national agriculture sector investment plan	ORG	2
the national agriculture policy	ORG	2
the national agriculture investment plan	ORG	2
the national agricultural investment and food and nutrition security plan	ORG	2
the national agricultural development policy (pnda	ORG	2
the national agricultural development fund	ORG	2
the national agrarian reform service	ORG	2
the national agrarian reform institute (inra	ORG	2
the national agrarian reform council	ORG	2
the national agency of environment	ORG	2
the national action programme for adaptation	ORG	2
the namibia agricultural mechanisation	ORG	2
the ntp-nrd	ORG	2
the municipio of el torno	ORG	2
the moroccan government	ORG	2
the mo ibrahim index	ORG	2
the ministry of youth	ORG	2
the ministry of water resources	ORG	2
the ministry of social affairs	ORG	2
the ministry of rural and land development (mdryt	ORG	2
the ministry of planning and investment	ORG	2
the ministry of law	ORG	2
the ministry of justice	ORG	2
the ministry of investment and international cooperation	ORG	2
the ministry of interior	ORG	2
the ministry of indigenous people’s affairs	ORG	2
the ministry of foreign trade and foreign investment	ORG	2
the ministry of food, agriculture and livestock	ORG	2
the ministry of food and agriculture	ORG	2
the ministry of food industry	ORG	2
the ministry of fisheries and agriculture	ORG	2
the ministry of finance and economic development	ORG	2
the ministry of equipment	ORG	2
the ministry of environment and fisheries	ORG	2
the ministry of emergency situations	ORG	2
the ministry of economy and planning	ORG	2
the ministry of development, investment and international cooperation	ORG	2
the ministry of development planning	ORG	2
the ministry of commerce	ORG	2
the ministry of agriculture, water and forestry	ORG	2
the ministry of agriculture, livestock, aquaculture and fisheries	ORG	2
the ministry of agriculture, livestock	ORG	2
the ministry of agriculture, irrigation and livestock (mail	ORG	2
the ministry of agriculture, irrigation	ORG	2
the ministry of agriculture, forestry	ORG	2
the ministry of agriculture, fisheries	ORG	2
the ministry of agriculture for the government	ORG	2
the ministry of agriculture and irrigation	ORG	2
the ministry of agriculture and animal resources	ORG	2
the ministry of agriculture (ma	ORG	2
the ministers of agriculture and livestock	ORG	2
the millennium challenge corporation	ORG	2
the middle east	LOC	2
the mediterranean sea	LOC	2
the mauritanian government	ORG	2
the market and agriculture trade improvement project	ORG	2
the maniyafushi research centre	ORG	2
the managing authority and paying agency	ORG	2
the mali chamber of agriculture	ORG	2
the maharashtra state adaptation action plan on climate change	ORG	2
the lower shire valley	LOC	2
the local government sector strategic plan	ORG	2
the local government engineering department	ORG	2
the livelihood empowerment against poverty	ORG	2
the litani river authority	ORG	2
the lake chad region project	LOC	2
the lake balaton	GPE	2
the labor-intensive public works	ORG	2
the labor intensive public works	ORG	2
the larp for the subproject	ORG	2
the kingdom of the netherlands	GPE	2
the kingdom of morocco	GPE	2
the kenya agricultural and livestock research organization	ORG	2
the kenya agricultural productivity and agribusiness project	ORG	2
the jobs & competitiveness pforr	ORG	2
the island councils	ORG	2
the involuntary resettlement policy	ORG	2
the international rice research institute	ORG	2
the international labor organization	ORG	2
the international labor office	ORG	2
the international institute for tropical agriculture (iita	ORG	2
the international financial reporting standards	ORG	2
the international center for insect physiology and ecology	ORG	2
the international bank for reconstruction and development	ORG	2
the internal audit unit	ORG	2
the interim climate change secretariat	ORG	2
the intergovernmental authority on development	ORG	2
the inter-donor group for agriculture and rural development	ORG	2
the inter-american institute for cooperation on agriculture (iica	ORG	2
the intended national determined contribution	ORG	2
the integration and trade sector framework document	ORG	2
the integrated public finance management system	ORG	2
the integrated pest management	ORG	2
the institutional capacity assessment system	ORG	2
the initial project	ORG	2
the indigenous people policy framework	ORG	2
the indian ocean tuna commission	ORG	2
the indian ocean region	LOC	2
the inclusive and sustainable development support programme for agricultural sectors	ORG	2
the implementing agencies	ORG	2
the imf board	ORG	2
the ifad rural finance policy	ORG	2
the ifad policy on targeting	ORG	2
the ifad executive board	ORG	2
the idb group	ORG	2
the human development index	ORG	2
the high-level technology fund	ORG	2
the guinean institute for agricultural research (irag	ORG	2
the grant agreements	LOC	2
the government of the republic of cote d’ivoire	ORG	2
the government of the lao people’s democratic republic	ORG	2
the government of uganda	ORG	2
the government of tunisia	ORG	2
the government of nigeria	ORG	2
the government of namibia	ORG	2
the government of mauritania	ORG	2
the government of congo	ORG	2
the government of burundi	ORG	2
the government of bangladesh	ORG	2
the government of angola	ORG	2
the ghana school feeding program	ORG	2
the ghana national household registry	ORG	2
the german agency for international cooperation	ORG	2
the general treasury	ORG	2
the general inspectorate of finance	ORG	2
the general directorate of agriculture	ORG	2
the general directorate of agricultural reform	ORG	2
the general directorate for promotion of the rural economy (dgper	ORG	2
the general coordinator	ORG	2
the gender marker system	ORG	2
the gandaki province	GPE	2
the gef special fund	ORG	2
the french global environment facility	ORG	2
the forum for agricultural research	ORG	2
the forestry directorate	ORG	2
the forest and pastoral value chain development project	ORG	2
the forest and land social control	ORG	2
the forest fund	ORG	2
the forest administration	ORG	2
the food technology institute	ORG	2
the food security sector framework document	ORG	2
the food safety	ORG	2
the focus area 2	LOC	2
the financial and accounting regulations	ORG	2
the financial management policy	ORG	2
the fergana valley	LOC	2
the feed africa strategy for agricultural transformation	ORG	2
the federal republic of somalia	GPE	2
the federal republic of nigeria	GPE	2
the federal government of somalia	ORG	2
the federal government of nigeria	ORG	2
the farmers council	ORG	2
the far north	LOC	2
the executive directors	ORG	2
the european union delegation	ORG	2
the european maritime fisheries fund	ORG	2
the environmental impact assessment	ORG	2
the environmental category b	ORG	2
the environmental assessment/audit	ORG	2
the environmental assessment	ORG	2
the ensuing loan agreement	ORG	2
the eastern region	LOC	2
the eastern province of zambia	GPE	2
the eu water framework directive	ORG	2
the eti-gb	ORG	2
the dry corridor strategic framework	ORG	2
the donor committee on agriculture and food security	ORG	2
the district councils	ORG	2
the disaster and climate risk management project	ORG	2
the directorate of irrigation	ORG	2
the directorate of environmental protection	ORG	2
the directorate of agriculture	ORG	2
the directorate for fisheries	ORG	2
the development of sub	ORG	2
the development programme	ORG	2
the departmental council	ORG	2
the department of rural development	ORG	2
the department of environment	ORG	2
the department of agriculture and livestock	ORG	2
the deconcentrated public institution for food sovereignty	ORG	2
the drlsp ii	LOC	2
the cuanza river	LOC	2
the crop development policy	ORG	2
the credit line	ORG	2
the country office	ORG	2
the council of farmers	ORG	2
the contingency emergency response component	ORG	2
the consulting engineer	ORG	2
the consultative group of international agricultural research	ORG	2
the congo basin	LOC	2
the comprehensive africa agriculture development program	ORG	2
the comprehensive africa agricultural development program	ORG	2
the completion reports and impact studies	ORG	2
the community health workers	ORG	2
the community agricultural infrastructure improvement programme	ORG	2
the common monetary area	ORG	2
the common agricultural policy (cap	ORG	2
the commodity technology delivery compacts	ORG	2
the climate change sector framework document	ORG	2
the civil society	ORG	2
the chamber of agriculture	ORG	2
the chaco eco-region	ORG	2
the central state	LOC	2
the central region	LOC	2
the central bank of west african states	ORG	2
the central bank of swaziland	ORG	2
the central bank of mauritania	ORG	2
the central bank of burundi	ORG	2
the central agricultural research institute	ORG	2
the cao bang province	LOC	2
the col loan agreement	ORG	2
the car government	ORG	2
the car agricultural transformation strategy	ORG	2
the business producer associations	ORG	2
the bounkani region (district of bouna	LOC	2
the borrower’s ministry of natural resources and environmental conservation	ORG	2
the borrower’s ministry of finance	ORG	2
the borrower’s ministry of agriculture and rural development	ORG	2
the borrower’s department of environment	ORG	2
the borrower''s ministry of agriculture, livestock and irrigation	ORG	2
the borrower for the interest period	ORG	2
the borrower ministry of finance	ORG	2
the borrower economic relations division ministry of finance government	ORG	2
the binh thuan provincial people’s committee	ORG	2
the benué valley	LOC	2
the benue river valley	LOC	2
the belgian technical cooperation	ORG	2
the bank’s technologies for african agricultural transformation (taat) programme	ORG	2
the bank’s ordinary capital	ORG	2
the bank’s environmental and social assessment procedures	ORG	2
the bank’s environment and safeguards compliance policy	ORG	2
the bank’s disbursement manual	ORG	2
the bank’s country strategy paper for tanzania	ORG	2
the bank’s country strategy paper	ORG	2
the bank’s country office (cogn	ORG	2
the bank’s core sector indicators	ORG	2
the bank''s website	ORG	2
the bank of uganda	ORG	2
the bank of tanzania	ORG	2
the bank of ghana (bog	ORG	2
the bank and fund	ORG	2
the bank board of directors	ORG	2
the bank 11-nov-2016 date	ORG	2
the bac kan province	GPE	2
the autonomous district of yamoussoukro	GPE	2
the artisanal fisheries	ORG	2
the arbitral tribunal	ORG	2
the aral sea	LOC	2
the anti-corruption policies	ORG	2
the andes mountains	LOC	2
the albanian agency for protected areas	ORG	2
the aid and investment management platform	ORG	2
the agropastoral value chains project	ORG	2
the agropastoral development and local initiatives promotion programme	ORG	2
the agriculture and livelihoods development working group	ORG	2
the agriculture sector support project	ORG	2
the agriculture sector development strategy	ORG	2
the agriculture sector development programme	ORG	2
the agriculture sector development plan	ORG	2
the agriculture sector	ORG	2
the agriculture investment management unit	ORG	2
the agriculture development fund	ORG	2
the agricultural value chain development project	ORG	2
the agricultural transformation support project	ORG	2
the agricultural transformation agency	ORG	2
the agricultural services program	ORG	2
the agricultural sector development program	ORG	2
the agricultural policy	ORG	2
the agricultural land use and protection directorate	ORG	2
the agricultural innovation fund	ORG	2
the agricultural health and food safety program	ORG	2
the agri-environmental tribunal	ORG	2
the african development fund loan agreements	ORG	2
the african development bank’s environmental and social assessment procedures	ORG	2
the african development bank’s	ORG	2
the african development bank:	ORG	2
the african development bank group	ORG	2
the africa climate business plan	ORG	2
the administrative and financial directorate	ORG	2
the adaptation for smallholder agriculture programme	ORG	2
the accelerated growth and employment promotion	ORG	2
the abu dhabi fund	ORG	2
the adb window	ORG	2
"the ""southern circuit"""	ORG	2
"the ""northern circuit"""	ORG	2
soum governments	PERSON	2
social solidarity	ORG	2
river basin	LOC	2
rice	PERSON	2
rainwater harvesting	PERSON	2
para	GPE	2
p.a.	GPE	2
nut kernels	PERSON	2
northeast	LOC	2
metric tons	PERSON	2
mangos	LOC	2
mango	GPE	2
lien	PERSON	2
kuu groups	GPE	2
kindergartens	PERSON	2
iii) extension services	ORG	2
iii	PERSON	2
ii	ORG	2
http://www.afdb.org/debarred	ORG	2
hotels	ORG	2
farmers	ORG	2
digital	ORG	2
de torres Álvarez et al.	PERSON	2
d''ivoire	PERSON	2
chia	PERSON	2
cereals	ORG	2
capital city	GPE	2
bananas	GPE	2
