trigram	frequency
an acceptable level	6
of the rebate	6
will then be	6
loan agreement as	6
operating regulations have	6
view to ensuring	6
will also reduce	6
seek to improve	6
to ensure efficient	6
the operational program	6
of agrochemicals including	6
will determine the	6
small scale community	6
enhancing food security	6
the budget act	6
national sustainable development	6
mowram to ensure	6
economic integration of	6
place for the	6
and targets specified	6
due to insufficient	6
of the permanent	6
six months from	6
and capitalize on	6
rural growth and	6
of transmission to	6
significant agricultural potential	6
that might be	6
promotion of inclusive	6
course of project	6
water conservation technologies	6
markets and services	6
sensitivity analysis indicates	6
rural women in	6
in environmental category	6
overarching goal of	6
services to small	6
per cent by	6
opportunities in rural	6
of five million	6
chains that are	6
the enforcement of	6
the past and	6
and will take	6
concept description a	6
the sa will	6
small irrigation systems	6
in other states	6
from the results	6
the main factors	6
project is deemed	6
implementation arrangements are	6
esmf includes a	6
will be elaborated	6
the environmental risk	6
with expertise in	6
to increased productivity	6
a whole and	6
will make a	6
of knowledge products	6
public irrigation schemes	6
the gains of	6
agricultural sector as	6
the national climate	6
community mobilization and	6
change and disaster	6
also be opened	6
complementary to the	6
to the population	6
component has two	6
cash transfers to	6
fall in prices	6
much lower than	6
improved quality of	6
existing government structures	6
national water plan	6
signing and entry	6
in all project	6
of institutions and	6
procurement manual myp	6
time through a	6
the undersecretary of	6
only around of	6
management and mitigation	6
source of rural	6
and the level	6
percent of non	6
cassava and vegetables	6
signing of loan	6
a project that	6
such as in	6
information and awareness	6
would be required	6
will be informed	6
shall comprise the	6
a specific transaction	6
agreements and the	6
access to agriculture	6
only be edited	6
training of young	6
in the chain	6
anticipated that the	6
be impacted by	6
emp or the	6
through improved agricultural	6
will likely be	6
extreme poverty by	6
agreed during project	6
basis applicable to	6
family farms to	6
and incremental operating	6
to the conflict	6
was decided to	6
accepted by adb	6
productive inclusion and	6
strengthening human capital	6
to an increased	6
management and learning	6
transactions to be	6
to the growth	6
on the food	6
of actors along	6
smallholder agriculture sector	6
monitoring evaluation system	6
impact in terms	6
developing a legally	6
is reflected in	6
and improved water	6
and rural statistics	6
information and data	6
central project coordination	6
upon a currency	6
for cereals and	6
but not leader	6
operating and maintenance	6
would have to	6
has been able	6
report report and	6
on a pilot	6
less amounts withdrawn	6
tree crop sector	6
of the amount	6
status of women	6
would include support	6
for the supply	6
in incomes and	6
on the needs	6
in a disputed	6
of liberia in	6
business plan and	6
outstanding or unwithdrawn	6
the control and	6
transaction costs and	6
land area is	6
groups and producer	6
place on existing	6
breeder and foundation	6
beneficiaries are women	6
of projects in	6
bank has supported	6
locations for the	6
there are few	6
be trained to	6
improvement of rural	6
the esmf also	6
households will benefit	6
the project performance	6
the focus area	6
will be staffed	6
construction of storage	6
has suffered from	6
feasibility study on	6
and coordinate the	6
multiplying such amount	6
with the effects	6
results in poor	6
expected to take	6
who benefit from	6
improve project implementation	6
it will comprise	6
will target the	6
million for component	6
and integrated approach	6
output targets include	6
public investment projects	6
to improved inputs	6
dominated by the	6
with national regulations	6
conducted by an	6
national bank of	6
in economic activity	6
following conversions of	6
investments in water	6
resilience and adaptation	6
northern smallholder livestock	6
financing for climate	6
department of planning	6
the required standards	6
emerging senegal plan	6
be created and	6
equivalent to one	6
all the stakeholders	6
to the processing	6
weakness of the	6
under terms of	6
on integrated pest	6
reflect advancement towards	6
government of lesotho	6
and oio regions	6
to enhance productivity	6
as represented by	6
with a bank	6
to promote good	6
economic performance has	6
build resilience for	6
system generated and	6
overall implementation of	6
of environmental services	6
the planning of	6
aggregation and service	6
especially during the	6
will generate knowledge	6
progress in terms	6
bps comprising its	6
of the ecosystem	6
of government revenue	6
of benin for	6
target groups and	6
have increased in	6
wealth creation in	6
payment dates falling	6
project implementation at	6
member but not	6
work programmes and	6
within the agriculture	6
of the lower	6
institutional frameworks for	6
with a gini	6
change adaptation activities	6
reform program supported	6
to us billion	6
good governance in	6
of institutional and	6
lack of equipment	6
framework for rural	6
overall project cost	6
the year and	6
inclusive growth by	6
their technical and	6
approving the annual	6
and recommendations of	6
stakeholders and beneficiaries	6
master plan and	6
policies will be	6
in combination with	6
institutional environment for	6
disclosed before project	6
international and national	6
adverse environmental or	6
support for youth	6
performance contracts and	6
it will introduce	6
prepare and implement	6
support services to	6
constructed or rehabilitated	6
compatible with ifad	6
department of livestock	6
have been implemented	6
will therefore support	6
with the idb	6
the package of	6
recommendation on a	6
of climate risk	6
with a gdp	6
will provide direct	6
and prevention of	6
the structure and	6
as an instrument	6
smallholder irrigation development	6
communities and producer	6
and southern regions	6
the amounts of	6
term of the	6
and approaches to	6
ministries and technical	6
and land resources	6
limited institutional capacity	6
million under the	6
economic and or	6
ifad adaptation for	6
deemed to be	6
to project identification	6
a precautionary measure	6
are known to	6
crops and animal	6
and efficient manner	6
of the hoa	6
accounting for about	6
chain development approach	6
of the actions	6
open competitive bidding	6
be critical for	6
loan of usd	6
risk management component	6
will fund the	6
its impact on	6
project and a	6
the facilitation of	6
the borrower must	6
are unlikely to	6
project planning and	6
and the poor	6
irrigated agriculture improvement	6
issues for the	6
burkina faso to	6
to integrate climate	6
adb so determines	6
achieve these objectives	6
is shown in	6
from developing a	6
the maputo and	6
kind contribution of	6
created within the	6
security and sustainable	6
and water harvesting	6
the overall risk	6
equipment and inputs	6
chain development is	6
support value chain	6
is characterised by	6
in the haitian	6
agricultural production activities	6
resilience will be	6
reaches of the	6
purchase of equipment	6
and improved market	6
is the dominant	6
days after of	6
agriculture sector investment	6
the current situation	6
floating rate to	6
is meant to	6
of the horticulture	6
veterinary and phytosanitary	6
or trade in	6
implementation unit will	6
women engaged in	6
capacities for the	6
to the increased	6
underpinned by the	6
governed by a	6
ensuring access to	6
increasing agricultural production	6
and human capital	6
management of infrastructure	6
agreements signed between	6
creation of local	6
youth unemployment and	6
benefitting from the	6
provide training and	6
also supported the	6
are underway to	6
nay pyi taw	6
reference approved by	6
have been factored	6
main objective of	6
b promotion of	6
the potential adverse	6
into agricultural value	6
targeting of women	6
unequal access to	6
borrower and is	6
the authority conferred	6
the project financed	6
the bafata and	6
to inform project	6
estimated at between	6
into development outcomes	6
negative impacts to	6
lending instrument development	6
than five years	6
country policy and	6
comparative advantage and	6
a need for	6
procedures are consistent	6
appointment of a	6
supply of electricity	6
to strengthen fiscal	6
and acquisition of	6
agricultural labour force	6
ensure the availability	6
international cooperation agency	6
for family agriculture	6
or local government	6
and small ruminants	6
particularly vulnerable to	6
a results matrix	6
members will be	6
years in to	6
and close to	6
annex a of	6
that the following	6
as a condition	6
an independent private	6
impact and outcome	6
the borrower beneficiary	6
middle east and	6
businesses and microenterprises	6
national statistical system	6
consensus on the	6
programme will cover	6
currency conversion of	6
and the activities	6
investment management unit	6
interest period equal	6
agricultural investment programme	6
estimates by components	6
which is higher	6
gas emissions and	6
and office equipment	6
full participation of	6
insufficient access to	6
rate applicable to	6
sustainability of pastoral	6
and data collection	6
in the total	6
or interest rate	6
implement the environmental	6
to gender equality	6
monitor the project	6
project consists of	6
and monitoring system	6
of changes that	6
with relevant stakeholders	6
the assessment and	6
countries in sub	6
to rural poverty	6
improve rural livelihoods	6
increase the availability	6
of women to	6
agency has sufficient	6
youth unemployment is	6
reform of the	6
internal control systems	6
to enhance ownership	6
technical assistance providers	6
was developed to	6
also aligned to	6
and the financing	6
through the application	6
there are some	6
denominated in more	6
project goal is	6
sector involvement in	6
and melaky regions	6
to provide policy	6
agriculture sector performance	6
audit the project	6
and the livestock	6
audit of project	6
objectives of this	6
package of interventions	6
loan based on	6
regulations will be	6
capacity of government	6
inclusive growth through	6
agroforestry and sylvo	6
milk collection and	6
while per cent	6
open to all	6
capacity of technical	6
with the administrative	6
help increase the	6
and cold chain	6
the most part	6
are a number	6
collection and processing	6
both national and	6
respond to climate	6
coverage of the	6
also be involved	6
of the lvb	6
the idb group	6
the area to	6
with the primary	6
an ida credit	6
and synergies with	6
to beneficiaries and	6
using the same	6
entity responsible for	6
the resettlement action	6
limited scope of	6
and accounting for	6
ensure effective project	6
under this pillar	6
alternative name brief	6
s components inputs	6
systems of the	6
jobs and income	6
ensure good governance	6
development for employability	6
on said floating	6
modern commodity exchange	6
works in the	6
of the soil	6
and development and	6
and disclosed before	6
to the introduction	6
on the level	6
identified through the	6
the poorest regions	6
world bank integrated	6
marketing infrastructure and	6
a function of	6
support to development	6
and have the	6
it also contributes	6
of improved agriculture	6
and an agricultural	6
general objective of	6
and county levels	6
prices for the	6
no land acquisition	6
rate of food	6
of outputs into	6
which are women	6
labor force and	6
the overall economic	6
in the control	6
indigenous and afro	6
agricultural r d	6
expressed interest in	6
to ensure greater	6
or physical cultural	6
order to enable	6
the democratic socialist	6
of any procurement	6
a direct and	6
of development policies	6
based monitoring and	6
resources to finance	6
middle income countries	6
in agricultural activities	6
support to women	6
organization of producers	6
supporting the establishment	6
value of usd	6
to have negative	6
strengthen agricultural health	6
those associated with	6
for matching grants	6
the bank may	6
change adaptation measures	6
and entrepreneurship in	6
to goods and	6
of evidence of	6
adb interest on	6
an independent external	6
project components to	6
equivalent to seven	6
of funds for	6
through a loan	6
and investing in	6
and adopted by	6
scheduled to close	6
for rural roads	6
enforcement of environmental	6
key lessons learned	6
assisted by an	6
processing of raw	6
esmps and raps	6
least of women	6
esmf prepared for	6
compared to an	6
in the operations	6
it should also	6
subproject which meets	6
to feed africa	6
additional jobs created	6
in soil and	6
at least three	6
summary total financing	6
will contribute significantly	6
with the strategy	6
each interest period	6
so converted in	6
development and agriculture	6
water availability for	6
chronic malnutrition rate	6
disbursements under the	6
increase their incomes	6
for credit and	6
asap grant beneficiaries	6
delivered to the	6
of the importance	6
sector development program	6
challenges facing the	6
for the republic	6
the recently approved	6
mango and cashew	6
development proposed development	6
triggers the pest	6
on the management	6
and information and	6
the respective issues	6
promoting private sector	6
transaction or group	6
agricultural risk management	6
lives of the	6
project from non	6
budgetary and other	6
assistance for implementation	6
at the federal	6
the commercial banks	6
as described below	6
that the funds	6
focus on gender	6
with a number	6
end of project	6
majority of whom	6
activities in a	6
of ifad debt	6
the institutional structure	6
the gender profile	6
for value chains	6
the main reasons	6
of vulnerability to	6
quarterly financial monitoring	6
badf intends to	6
revert to the	6
and industry and	6
and are not	6
the third largest	6
and improving their	6
been prepared in	6
change and green	6
is fundamental to	6
number of private	6
the outset of	6
cap or interest	6
under the leadership	6
economically and socially	6
enhance the value	6
data and regional	6
good practice principles	6
denominated special account	6
economic benefits from	6
to determine whether	6
and the internal	6
of the s	6
rice value chains	6
and transfer of	6
is not available	6
in fy to	6
specific context of	6
previous ifad projects	6
of improved management	6
of an annual	6
tsf loan of	6
issues of land	6
of enabling environment	6
bank within six	6
do not entail	6
a provision for	6
expected due to	6
and sanitation facilities	6
sustainably increase the	6
order to strengthen	6
program operating manual	6
of an action	6
for procurement and	6
the trend of	6
will recruit a	6
implementing projects in	6
regulatory framework of	6
and institutional support	6
a consequence of	6
revolution in africa	6
or the rp	6
that in the	6
projects in liberia	6
of smallholder agriculture	6
improvements to the	6
structured in two	6
of the evaluation	6
improvements in agricultural	6
mainly to the	6
the agricultural land	6
could contribute to	6
the budget for	6
currency payable by	6
new technologies for	6
progress reports of	6
around the world	6
to the amortization	6
major contributor to	6
national strategies and	6
and financial education	6
of water resource	6
local food production	6
feed africa and	6
demarcation of conservation	6
of productive capital	6
rate component of	6
of civil conflict	6
hardware and software	6
this op is	6
financing incentive mechanism	6
stem from the	6
of animal diseases	6
activities in this	6
national strategy and	6
increasing farm productivity	6
detailed calculations are	6
seeks to address	6
unit of account	6
impacts are not	6
of of the	6
tons in to	6
enhance livestock production	6
whether withdrawn and	6
a legal requirement	6
authorities and communities	6
a control group	6
for adb asian	6
the irrigation system	6
defined in section	6
agriculture and resilient	6
programme is designed	6
to improve living	6
by the chief	6
the institutions involved	6
of the required	6
promote the participation	6
terms agreed upon	6
proof of the	6
a pilot basis	6
be made on	6
access for the	6
marketing channels and	6
and comply with	6
swaps or integrated	6
than one loan	6
of shared prosperity	6
by showcasing the	6
investments in public	6
indigenous peoples planning	6
its part to	6
component and the	6
following three components	6
of an additional	6
on capacity building	6
recruited by the	6
of the outcomes	6
than half the	6
government of burundi	6
support to mifa	6
conversions of the	6
diagnostic assessment of	6
of the indian	6
local level and	6
land is currently	6
for agricultural entrepreneurship	6
amount in its	6
of the quarterly	6
landlocked country in	6
sustainability of agricultural	6
of services and	6
and security situation	6
nutritional quality of	6
further strengthen the	6
be applied in	6
by the relevant	6
well as measures	6
of the director	6
hubs in the	6
opening up access	6
philippines for the	6
actions to promote	6
adaptation to the	6
exchange rate component	6
the project promotes	6
the above documents	6
positive environmental and	6
water stress and	6
in the portal	6
operation id p	6
value for the	6
of processed products	6
and provincial governments	6
agenda for prosperity	6
its development and	6
to meeting the	6
was prepared in	6
this approach is	6
target women and	6
cultural resources policies	6
of establishing the	6
approved currency that	6
directly supervise the	6
services means consulting	6
impact on women	6
for wheat and	6
between the ministry	6
to one of	6
have expressed interest	6
of the more	6
be made during	6
with other government	6
impacts within the	6
will increase from	6
a credit of	6
a subproject until	6
the regulatory environment	6
developed with the	6
with their respective	6
in reducing the	6
in the domestic	6
for rural growth	6
energy and water	6
progress towards achieving	6
marine and coastal	6
and operationalization of	6
this support will	6
said floating rate	6
proposed that the	6
will incorporate the	6
works financed by	6
the various project	6
prior to said	6
specific measures to	6
selected areas of	6
hereinabove that is	6
capabilities of the	6
emerged from the	6
effective project management	6
for agricultural investment	6
be related to	6
overall implementation and	6
for the siliana	6
rural community finance	6
the development partners	6
business development support	6
well as training	6
expenditures under the	6
pastoral productivity in	6
focal points in	6
ha of arable	6
of actors and	6
households that have	6
and implementation capacity	6
and production in	6
provisional project implementation	6
of the needs	6
mitigation of any	6
water and wastewater	6
in the risk	6
sections are system	6
serving as a	6
sector participation in	6
of the objectives	6
the risk to	6
support training and	6
model for the	6
adopted for the	6
the targets set	6
staff at the	6
in place the	6
and development in	6
significant regional disparities	6
per capita was	6
which it is	6
access to assets	6
and fiduciary aspects	6
for the food	6
smallholder farmers for	6
about percent in	6
separately to the	6
notice recruitment of	6
such charge shall	6
of local authorities	6
area covered by	6
as captured in	6
line with its	6
will provide oversight	6
projects and the	6
the progress achieved	6
bureau of standards	6
of the global	6
climate change projections	6
sites have been	6
analysis indicates that	6
pilot program for	6
funds to be	6
data for the	6
obligations under this	6
redress mechanism acceptable	6
and designed to	6
borrower may at	6
proceeds from the	6
the productive and	6
ordinary operations loan	6
to a fixed	6
of infrastructure in	6
for the structural	6
the public debt	6
innovation and extension	6
million at a	6
social due diligence	6
agriculture and land	6
medium scale farmers	6
to ensuring that	6
large majority of	6
which will focus	6
the constraints are	6
project or the	6
and youths in	6
to develop an	6
sites for the	6
intended national determined	6
grants to the	6
percent for the	6
a dominant role	6
paps and or	6
and animal breeds	6
and environmental resilience	6
based on existing	6
recurrent costs of	6
project team has	6
showcasing the project	6
the provincial government	6
pmu will also	6
the portfolio is	6
selected through a	6
potential for increasing	6
of families in	6
grant currency ua	6
fruit and vegetables	6
has been growing	6
the expected impacts	6
sustainability of interventions	6
imports and exports	6
approach and implementation	6
and private institutions	6
rate of percent	6
on the success	6
cause the prf	6
agribusiness in the	6
to combat climate	6
in monitoring and	6
strong emphasis on	6
conversion in accordance	6
of reference approved	6
a high incidence	6
security investment program	6
programmes or projects	6
the country faces	6
governments of the	6
and regional reports	6
category a under	6
and that they	6
engage with the	6
institutions will be	6
pforr program will	6
area will cover	6
gdp grew at	6
food safety systems	6
harmonization and alignment	6
for increased production	6
instrument development policy	6
with the results	6
beneficiaries are expected	6
projected to be	6
private sector competitiveness	6
capacities in the	6
a screening mechanism	6
online in the	6
the national population	6
of youth unemployment	6
producers and small	6
the markets and	6
sex and age	6
support under this	6
be organized to	6
or to be	6
and development institutions	6
point of view	6
engaged in a	6
support for these	6
accounting management of	6
the practice of	6
livelihoods in the	6
to producers and	6
the parties thereto	6
of the gross	6
ministries involved in	6
living in conditions	6
progress against the	6
producers in serbia	6
the continuation of	6
translation of outputs	6
are system generated	6
overview of the	6
productivity growth and	6
country has experienced	6
has been limited	6
ha in the	6
modern farming techniques	6
the strategy is	6
extreme climatic events	6
please explain why	6
project preparation facility	6
bank not later	6
dissemination of information	6
and ethnic groups	6
secretary of the	6
using the direct	6
policies and investments	6
proven effective in	6
is considered moderate	6
gender analysis and	6
target of increasing	6
food safety services	6
study for the	6
of higher education	6
management of targeted	6
losses of us	6
and therefore this	6
with an aim	6
of livestock services	6
said conversion by	6
access to efficient	6
of total land	6
bank of liberia	6
the seed subsector	6
and management framework	6
change and increasing	6
are not satisfactory	6
projects in uganda	6
of the limited	6
to keep pace	6
throughout the region	6
this arrangement will	6
the comptroller general	6
thuan provincial people	6
of the rehabilitation	6
population is engaged	6
the program aims	6
aim to increase	6
of esias esmps	6
the amount denominated	6
aims at supporting	6
provide training in	6
for natural resource	6
the case in	6
to public services	6
order to mitigate	6
construction of small	6
in the communities	6
open and maintain	6
repayment amount to	6
time at a	6
that will allow	6
of growth in	6
to both the	6
and a social	6
to time through	6
pmu and piu	6
meet their basic	6
activities in areas	6
the interventions will	6
from the second	6
articulated in the	6
livelihoods through climate	6
such as increased	6
to the sustainable	6
on health and	6
planning and implementing	6
ministry of infrastructure	6
be assisted in	6
by the loan	6
obtained the final	6
to operate in	6
and will develop	6
standard mitigation measures	6
to the lake	6
increase their capacity	6
the fall in	6
outside of the	6
participatory approach in	6
the agriculture development	6
of myanmar for	6
of environmental assessment	6
and a national	6
these areas are	6
the rights and	6
total of ua	6
the annual audit	6
development of human	6
o m plan	6
an enabling business	6
of infrastructure to	6
capacity within the	6
agricultural sector competitiveness	6
support and project	6
flow of information	6
year quarter initial	6
project approval december	6
condition of the	6
unaudited financial reports	6
and to generate	6
conversion by either	6
v of the	6
of the export	6
poor value chains	6
the agricultural potential	6
to the rest	6
studies and planning	6
food insecure and	6
and technologies to	6
impact natural habitats	6
t s output	6
meet market demand	6
regular monitoring of	6
be consulted and	6
are considered to	6
take part in	6
sustainable agriculture practices	6
component will involve	6
recommendations concerning a	6
to improved agricultural	6
displacement and or	6
of denomination immediately	6
nonreimbursable financial supports	6
government of ethiopia	6
will be awarded	6
thus reducing their	6
project administration and	6
a rural engineering	6
the specific locations	6
management systems to	6
means the facilities	6
in an environmentally	6
management and capacity	6
used to guide	6
the main mitigation	6
will also fund	6
equivalent of us	6
allocate resources to	6
of a country	6
bank standard solicitation	6
agriculture sector contributes	6
upon entry into	6
economy and planning	6
will be fed	6
that will improve	6
terms of gender	6
and nutritional insecurity	6
surveillance and monitoring	6
measures elaborated in	6
they are not	6
of milk and	6
addressed and disclosed	6
is triggered and	6
the fund for	6
environmental sustainability in	6
as a model	6
technical design of	6
sustainable development action	6
secretariat for the	6
is coordinated by	6
of economically active	6
the realization of	6
of loan agreements	6
consider safeguards complaints	6
improvements are needed	6
will work to	6
is a general	6
promote agricultural sub	6
transition from a	6
the activities for	6
all segments of	6
largely due to	6
million or cfaf	6
in two tranches	6
is the highest	6
facilities and services	6
been established to	6
by percent of	6
in areas such	6
experience in supporting	6
will identify the	6
be financed from	6
the poverty incidence	6
m e data	6
fully with the	6
lower compared to	6
programme will ensure	6
with special focus	6
plan means the	6
and a procurement	6
food supply chains	6
strategy to promote	6
is accepted by	6
the rural poverty	6
growth for the	6
age and the	6
and a discount	6
a final evaluation	6
economic relations division	6
would be disseminated	6
and other institutions	6
and professional organizations	6
to move towards	6
roads and construction	6
quality of project	6
the consultative group	6
payments will be	6
resource management in	6
to natural resource	6
cooperatives development for	6
a comprehensive sector	6
is even more	6
in this process	6
meat value chains	6
payable on any	6
of adoption by	6
component will facilitate	6
seed enterprise groups	6
main beneficiaries of	6
indicating that the	6
to access finance	6
use of surface	6
increase the participation	6
to provide adequate	6
its country office	6
of irrigated perimeters	6
the collapse of	6
planned for the	6
and outstanding or	6
for project support	6
was able to	6
the past ten	6
based on detailed	6
part of component	6
the most disadvantaged	6
the csp is	6
in the frequency	6
management system and	6
of rice intensification	6
of the challenges	6
and linked to	6
captured using analysis	6
analysis carried out	6
the destruction of	6
which will improve	6
the four municipalities	6
and institutional assessment	6
the programme provides	6
a separate amortization	6
anchored on the	6
support to enable	6
the agricultural growth	6
provision for value	6
risk sharing for	6
eastern states agribusiness	6
to tsf pilar	6
be procured using	6
all stakeholders and	6
can be avoided	6
the urban and	6
from deforestation and	6
the greatest potential	6
the targeting of	6
recommended in the	6
the left bank	6
of these studies	6
agricultural productivity to	6
from cancelled resources	6
improved planting material	6
conclusion of the	6
address the gender	6
is above the	6
water harvesting technologies	6
is seen as	6
less than mm	6
previous experience in	6
trade development project	6
the irrigation network	6
to enter the	6
are the world	6
results have been	6
and easily manageable	6
with national strategies	6
to production areas	6
aspect of the	6
recognized as one	6
has initiated a	6
first pillar of	6
with the rest	6
be allowed in	6
framework for economic	6
floating rate applicable	6
that per cent	6
and the limited	6
of the family	6
the implementation stage	6
integrated development support	6
have had a	6
on the strength	6
agriculture as one	6
to enhance food	6
support of a	6
pertaining to the	6
and prf implementing	6
of sustainable family	6
can be addressed	6
subsistence agriculture and	6
economic opportunities in	6
entity of the	6
and new technologies	6
support for women	6
edited online in	6
support under component	6
transformation support project	6
water storage capacity	6
of new projects	6
peoples and afro	6
no subproject categorized	6
program would support	6
of communities in	6
of cocoa plantations	6
scale irrigation systems	6
agricultural investment and	6
of economic opportunities	6
to soil erosion	6
the external auditor	6
provided with new	6
and information system	6
the resilience and	6
bank under the	6
to an annual	6
value chain for	6
will closely monitor	6
the above mentioned	6
been a key	6
who are already	6
potential environmental risks	6
of water points	6
to environmental and	6
in more detail	6
crop value chains	6
protocol agreement and	6
was conducted using	6
the pdo by	6
particularly on the	6
significantly to the	6
this is important	6
tsf pilar i	6
malawi growth and	6
as highlighted in	6
the productive inclusion	6
the operational manual	6
be discussed with	6
by commercial banks	6
the international standards	6
will support improved	6
satisfaction of conditions	6
poverty and increase	6
and economic transformation	6
of economic diversification	6
us million ibrd	6
the same approach	6
and site specific	6
for more details	6
of the creation	6
have a strong	6
the policies on	6
for the tree	6
for the initial	6
social safeguards instruments	6
of rural economic	6
communities to climate	6
average size of	6
on the floating	6
the return of	6
the ongoing ifad	6
its activities in	6
project that will	6
it includes the	6
should lead to	6
the lake is	6
and irrigation canals	6
the formalization of	6
the project concept	6
rate that reflects	6
major constraint to	6
young people will	6
cent in and	6
certified seed systems	6
a critical element	6
under the esmf	6
compared to for	6
and representatives from	6
are important to	6
growth in agricultural	6
such agreement may	6
bank procurement policy	6
logistical support to	6
livestock and animal	6
and equipped with	6
dates falling on	6
operation is aligned	6
feeder roads to	6
increase of by	6
et de la	6
an expansion of	6
identify and address	6
of public infrastructure	6
identified during implementation	6
domestic production and	6
for each interest	6
project results using	6
of the comptroller	6
tree planting and	6
and procurement of	6
to prepare business	6
be followed for	6
smallholder dairy producers	6
the portfolio review	6
of these products	6
been prepared and	6
the irrigation master	6
poverty rates and	6
per cent young	6
the institute of	6
and reflected in	6
and capacity for	6
impact in the	6
crises and emergencies	6
which it will	6
have three components	6
automatic weather stations	6
economic growth that	6
with a difficult	6
system for monitoring	6
mentioned in the	6
outputs into development	6
np modernization of	6
and institutional environment	6
control of agricultural	6
regulations and procedures	6
the jobs for	6
environmental impacts will	6
in the catchment	6
the main expected	6
region estimated board	6
which will enable	6
and the business	6
local markets and	6
effect of an	6
converted in said	6
and social adverse	6
water availability and	6
on agriculture as	6
by the ongoing	6
to be promoted	6
and other financial	6
and practices that	6
commercialization of the	6
in a way	6
and improvement in	6
risks to the	6
with ifad strategies	6
to poor households	6
in close proximity	6
land regularization and	6
million ida and	6
of smallholder farming	6
to bridge the	6
from percent of	6
payment method will	6
banks of the	6
to increase farmers	6
of data collection	6
and their implementation	6
information systems to	6
that the borrower	6
and percentage of	6
the various activities	6
government counterpart funds	6
implementation by the	6
and health survey	6
agribusiness promotion programme	6
ethnic sects and	6
quality of its	6
and procurement plans	6
of beneficiaries will	6
the activities supported	6
principal in said	6
on food and	6
for the last	6
and impacts on	6
supply chains for	6
environmental risk rating	6
of activities under	6
resettlement or land	6
a key driver	6
and reporting on	6
of watershed management	6
be contingent on	6
management procedures manual	6
the project involves	6
and participate in	6
on good agricultural	6
this information will	6
of a detailed	6
in an inclusive	6
positive environmental externalities	6
expenditure claimed unallocated	6
sierra leone and	6
smallholder livestock commercialization	6
regional and continental	6
among the highest	6
out on the	6
and other items	6
critical for the	6
incomes and employment	6
sectors in the	6
operational and maintenance	6
procedures manual will	6
the sc will	6
rural employment through	6
result in higher	6
land area under	6
the bank assessed	6
which supports the	6
it was not	6
cocoa value chain	6
is built on	6
excluding taxes and	6
charge of three	6
kamping pouy subproject	6
does the project	6
rehabilitation of km	6
during the identification	6
at the landscape	6
agricultural technologies that	6
and guidelines for	6
create conditions conducive	6
improving the agricultural	6
to adb to	6
and the elderly	6
amounts withdrawn from	6
gda and smsa	6
the output indicators	6
by the communities	6
the weaknesses identified	6
above the poverty	6
millennium development goal	6
various group of	6
and the conversion	6
livestock dairy development	6
rural feeder roads	6
assumptions underlying the	6
civil war in	6
climate safeguards system	6
mm per year	6
capacity building on	6
menu of proven	6
for coordination and	6
order to better	6
of rural livelihoods	6
and consists of	6
have been compensated	6
forest cover and	6
climate change co	6
the main challenges	6
sierra leone in	6
cashew apple juice	6
the recent past	6
including those relating	6
activities proposed under	6
national government counterpart	6
crop production is	6
unable to meet	6
to have any	6
to all sectors	6
enhancing productivity of	6
close coordination and	6
interests of the	6
value chain competitiveness	6
institute for agricultural	6
to inclusive and	6
out by an	6
project and subproject	6
the framework will	6
a sensitivity analysis	6
dependent on natural	6
to time at	6
external website on	6
reduce pressure on	6
support to sustainable	6
project will serve	6
to be women	6
ml credit xdr	6
each of its	6
average of percent	6
to be deployed	6
have adverse impacts	6
management system in	6
execution of component	6
sector is expected	6
and fisheries sectors	6
tsf pillar i	6
of the non	6
its support for	6
to the crisis	6
agriculture sector through	6
a major problem	6
programme to the	6
by the imf	6
the transparency international	6
audits of the	6
in all of	6
as access to	6
of article v	6
of one per	6
project will utilize	6
body for the	6
india and vietnam	6
and commercial banks	6
northern part of	6
agriculture development strategy	6
process feedback loop	6
of political and	6
of the surcharge	6
the complementarity of	6
infrastructure support project	6
the line ministries	6
any negative impacts	6
was established in	6
total production of	6
additional income on	6
level and in	6
dialogue between the	6
productivity as a	6
activities in support	6
building support for	6
cfaf million for	6
a share of	6
carried out following	6
and livelihoods in	6
project affected people	6
transition to green	6
land has been	6
government efforts to	6
in annex a	6
an exit strategy	6
implementation manual and	6
construction of market	6
and vegetable production	6
are given in	6
value chains which	6
as service providers	6
women and indigenous	6
added value in	6
foreign exchange reserves	6
percent of employment	6
of the past	6
adaptation of the	6
no subproject with	6
specific transaction or	6
support by the	6
participatory value chain	6
the taat program	6
develop technical and	6
environmentally sustainable manner	6
as a precautionary	6
facilitate prudent debt	6
based in the	6
impact evaluation of	6
responsibility of a	6
infrastructure that will	6
bank website prior	6
actors and operators	6
intergovernmental panel on	6
small farmers in	6
value chains under	6
deposit of the	6
implementation of specific	6
institutional and regulatory	6
asap trust fund	6
states of the	6
risks posed by	6
of rural people	6
and allied sectors	6
sprinkler irrigation systems	6
in the doing	6
corrective measures taken	6
rural economy integrated	6
of forest and	6
quarter afdb govt	6
other actors in	6
the management to	6
trained in the	6
to assess and	6
in the productivity	6
is provided to	6
and negotiate b	6
construction of dams	6
building of public	6
if the principal	6
benefit from capacity	6
rural water supply	6
people who will	6
promotion of innovative	6
to accomplish the	6
inland fisheries and	6
not involve the	6
will be open	6
rural poverty rates	6
the national energy	6
bank policy on	6
the grant agreements	6
based on bank	6
including the provision	6
given the limited	6
of italy to	6
rural development to	6
to reduce environmental	6
and the identification	6
an emergency situation	6
