bigram	frequency
reduced poverty	5
pastoralists livelihoods	5
two departments	5
farm workers	5
reform institute	5
supervising entity	5
aniceto timoteo	5
given time	5
loss assessment	5
recrutement et	5
technical report	5
will reinforce	5
impacts along	5
animal breeding	5
related aspects	5
including civil	5
benefits derived	5
support mechanisms	5
diversified farming	5
local produce	5
maritime fisheries	5
improved efficiency	5
pforr will	5
arid areas	5
roads built	5
peja study	5
dpo will	5
risks level	5
energy security	5
subproject categorized	5
hommes et	5
provide clear	5
resources total	5
remote rural	5
women aged	5
basin forums	5
necessary technical	5
final audit	5
rural titling	5
capacidades para	5
reporting will	5
agricultural planning	5
selected activities	5
consultant guidelines	5
diagnostic study	5
rice yields	5
rnd cpr	5
radoniqi irrigation	5
agricultural employment	5
external evaluations	5
juvenal nzambimana	5
congolese economy	5
electricity network	5
selected farmers	5
adequate implementation	5
waste re	5
policy implementation	5
locally available	5
fixed rate	5
beneficiary satisfaction	5
table presents	5
sector investors	5
retraits du	5
capacities among	5
pres pm	5
time horizon	5
rehabilitated rural	5
inflow outflow	5
mp tab	5
canal swamp	5
provided valuable	5
supporting women	5
engineering studies	5
enhanced livelihoods	5
general budget	5
rainfall intensity	5
five mortality	5
priority needs	5
monsoon rainfall	5
missions fielded	5
limited market	5
development infrastructure	5
urban transport	5
current status	5
declining international	5
martien van	5
program supports	5
performance du	5
small earth	5
constraints include	5
entrepreneurship program	5
remaining us	5
overall deficit	5
among projects	5
safety enhancement	5
third phase	5
technique de	5
transportation system	5
accessible locations	5
hereby recommends	5
development work	5
plan presented	5
techniques de	5
southern part	5
review bank	5
two institutions	5
delegated management	5
ninety thousand	5
external conditions	5
financed mainly	5
technical standards	5
municipal infrastructure	5
important sector	5
treatment facilities	5
weak agricultural	5
proposed technical	5
innovation platform	5
land acquisitions	5
various agro	5
bank operational	5
nimba county	5
supporting smallholder	5
cost ratio	5
capture fisheries	5
communities concerned	5
sensitization plan	5
manage climate	5
framework results	5
development speci	5
increasing temperatures	5
guarantee sustainability	5
additional agricultural	5
new advance	5
project covers	5
covenant set	5
new knowledge	5
ifad reference	5
level conference	5
receive funding	5
enhancing activities	5
eradicate poverty	5
timeframe milestone	5
production patterns	5
small equipment	5
government technical	5
previous agricultural	5
congo water	5
national entities	5
private services	5
substantially similar	5
will examine	5
procurement related	5
ensuring proper	5
special condition	5
cargo al	5
et melaky	5
pm minefid	5
various stages	5
fully meets	5
recursos naturales	5
involve policy	5
national emergency	5
also noted	5
hundred fifty	5
market volatility	5
provide general	5
business enterprises	5
la passation	5
ble ops	5
plan means	5
identified agriculture	5
cashew producers	5
inrm policies	5
financing activities	5
promoting good	5
farmers cooperatives	5
successful experiences	5
zero hunger	5
customer service	5
branch canals	5
services management	5
processed kernels	5
eastern parts	5
category expenditure	5
cultivated lands	5
state levels	5
peut suspendre	5
district offices	5
social consequences	5
based budgeting	5
criar ii	5
municipios will	5
mobilize additional	5
sudan agricultural	5
june weights	5
elopment index	5
poorest quintile	5
continuous training	5
dated august	5
adopt supportive	5
reports progress	5
potential sites	5
accessing markets	5
et toutes	5
declined since	5
harmonized across	5
paddy production	5
ensure smooth	5
will yield	5
assistant accountant	5
context indicators	5
construction work	5
tralard project	5
term positive	5
nom et	5
supporting national	5
necessary steps	5
tenure system	5
burundi coffee	5
informal employment	5
will assign	5
annuelle procar	5
services tailored	5
climate mitigation	5
ensure coordination	5
inputs will	5
global competitiveness	5
properly managed	5
tomato subsector	5
national savings	5
component aim	5
judicial system	5
increasing income	5
summary development	5
regarding agricultural	5
around lake	5
africa west	5
de contrats	5
local people	5
ensure successful	5
se entienden	5
various public	5
technological change	5
gross production	5
social transformation	5
isds may	5
catchment ponds	5
rural stability	5
business alliances	5
increased temperatures	5
made manifest	5
total fe	5
provides technical	5
especially rural	5
avant la	5
undp human	5
events will	5
gold panning	5
protection officer	5
business law	5
increasing yields	5
resources policy	5
production shocks	5
industrial activity	5
interim climate	5
four times	5
broader government	5
implementation conditions	5
specifically related	5
international shortlist	5
fonds peut	5
components sub	5
participation framework	5
field survey	5
borders shown	5
following condition	5
necessary capacity	5
allow farmers	5
financing projects	5
million financing	5
see par	5
growth across	5
informal trade	5
ahai pgcl	5
manuel et	5
technical packages	5
performing loans	5
solution brief	5
relevant practical	5
mutually reinforcing	5
institutions providing	5
regional coordinator	5
strengthened public	5
water facilities	5
firms will	5
totalling ua	5
idb total	5
cash flows	5
sector institutional	5
officer rdgw	5
crop sectors	5
risks management	5
gsws facilities	5
project specificities	5
bank considers	5
sustainable impact	5
largest exporter	5
recent world	5
service contracts	5
current climate	5
precipitation events	5
substantial progress	5
sustainable family	5
reports output	5
greater resilience	5
plan http	5
activities annual	5
livelihoods depend	5
product marketing	5
expand animal	5
activity models	5
agriculture corporates	5
investment component	5
reforms identified	5
project officer	5
first audit	5
affect agricultural	5
take ownership	5
agricultural communities	5
des pratiques	5
financed will	5
area developed	5
ida funds	5
fully flexible	5
compter de	5
payment methods	5
support component	5
key objective	5
calculated using	5
alternative solution	5
north lebanon	5
better services	5
net benefit	5
annual development	5
project national	5
great ruaha	5
improved animal	5
strong ownership	5
improved private	5
large area	5
les objectifs	5
slow economic	5
financial impact	5
meters high	5
experiences gained	5
additional loan	5
critical ecosystems	5
youth training	5
mitigate impacts	5
limited opportunities	5
environmental dimension	5
objectives include	5
livestock outreach	5
economic shocks	5
means operation	5
relevant private	5
different institutions	5
facilitate project	5
target set	5
annexe clauses	5
resources needed	5
activities envisaged	5
recipient undertakes	5
forest lands	5
lasting rural	5
agricultural statistical	5
farmer water	5
using costab	5
towards value	5
simplified tax	5
tom pro	5
poor market	5
decree published	5
million irr	5
created within	5
various implementing	5
overall agricultural	5
interventions supported	5
uno de	5
including livestock	5
detailed criteria	5
chef de	5
guarantee food	5
new sources	5
also expand	5
based food	5
external markets	5
virus acquired	5
solutions will	5
finance asian	5
december govt	5
farm labour	5
institutional infrastructure	5
affect water	5
largely based	5
main issues	5
small works	5
financial analyst	5
citrus fruit	5
jobs generated	5
mainly concern	5
local officials	5
category iv	5
job market	5
nina chee	5
project logical	5
increased average	5
power plant	5
still needs	5
evaluability evaluable	5
creating economic	5
national industrialization	5
contents page	5
operational management	5
bangladesh agricultural	5
services reports	5
key policies	5
funds methodology	5
additional hectares	5
development gilbert	5
acceptable pour	5
southwest monsoon	5
force survey	5
manage resilient	5
two large	5
fishing practices	5
sector assessment	5
management entity	5
unit cost	5
safeguards aspects	5
implementing entities	5
information produced	5
scale land	5
sharing learning	5
critical gaps	5
growing domestic	5
reinsurance company	5
programme monitoring	5
programme summary	5
whole nuts	5
recipient ibrd	5
economic flows	5
finance component	5
conservation needs	5
organizational development	5
rural world	5
basic program	5
key regional	5
will stem	5
duties will	5
significant results	5
operation phase	5
supporting market	5
edson mpyisi	5
agreed terms	5
priority target	5
pacigof padec	5
indemnification compensation	5
disbursement set	5
december effectiveness	5
draft annual	5
business potential	5
de cuentas	5
los actores	5
awpb annual	5
industrial hubs	5
support regional	5
good condition	5
jiangxi provincial	5
ruminant production	5
gully reclamation	5
productive areas	5
critical institutions	5
remain important	5
al final	5
bidding document	5
recent measures	5
monsoon season	5
traditional approach	5
product certification	5
average rainfall	5
proven experience	5
infrastructure including	5
gardening products	5
implementation failures	5
project aimed	5
regional inequalities	5
instruments governing	5
national roads	5
program consists	5
year program	5
lending programme	5
towards target	5
game reserves	5
management office	5
based services	5
triggered due	5
le ministre	5
detailed assumptions	5
mutually agreed	5
key output	5
jica us	5
audit fees	5
rs project	5
people within	5
tourism infrastructure	5
le pdar	5
general implementation	5
support wb	5
rights regarding	5
major river	5
results expected	5
policy lending	5
include private	5
livelihood mission	5
tanks will	5
resource based	5
works services	5
relaunching agriculture	5
national chamber	5
multiplier effects	5
building human	5
pastoral technologies	5
gainful employment	5
tools empowering	5
institutional mechanism	5
conduct environmental	5
tels que	5
help groups	5
model developed	5
key food	5
administrative entities	5
inclusive market	5
convenios de	5
following disbursement	5
fully exploited	5
hundred million	5
high temperatures	5
policy studies	5
financing investment	5
staff recruited	5
chain players	5
additional condition	5
provide targeted	5
significant benefits	5
expert ahai	5
development issue	5
components components	5
core team	5
previous ifad	5
water pumping	5
may contribute	5
des retraits	5
market outlets	5
offtake rate	5
sector issues	5
pfj campaign	5
agricultural engineering	5
current investment	5
related remedies	5
economy away	5
developing business	5
term social	5
de permettre	5
improve yields	5
la croissance	5
per worker	5
cpf pillar	5
current administration	5
natural enemies	5
organic matter	5
cocoa production	5
policy note	5
malawi africa	5
regarding production	5
next decade	5
el nino	5
efficient utilization	5
increased quantity	5
promoting value	5
de partenariat	5
fm assessment	5
coffee industry	5
produce regional	5
relevant iee	5
productive base	5
review existing	5
information policy	5
new rcfis	5
cofinancing identified	5
micro small	5
pollution prevention	5
will gain	5
project inception	5
investment incentives	5
also resulted	5
agriculture officer	5
todos los	5
arid lands	5
management agreements	5
condiciones previas	5
national animal	5
innovative youth	5
investments needed	5
esms implementation	5
related dev	5
increase efficiency	5
th session	5
base line	5
various reports	5
economic fabric	5
financial assistant	5
taken place	5
de cinq	5
de riesgos	5
events specified	5
currently working	5
banks will	5
entrada en	5
government interventions	5
establishing partnerships	5
reports shall	5
valuable information	5
audit staff	5
gafsp will	5
management needs	5
will hold	5
higher among	5
visual observation	5
equity enhancement	5
unless otherwise	5
foreign inflation	5
price information	5
also found	5
new one	5
area irrigated	5
issues associated	5
seed expert	5
rcn processing	5
technology demonstration	5
credit market	5
biais de	5
pasta will	5
staff including	5
home strategy	5
major regions	5
physical demarcation	5
institutional architecture	5
education training	5
fully responsible	5
management methods	5
will place	5
avril et	5
replace current	5
degrees celsius	5
large farmers	5
senacsa will	5
smart technology	5
al prestatario	5
resilient productivity	5
coordonnateur national	5
around value	5
various aspects	5
locaux et	5
prioritized value	5
tsh million	5
operational impacts	5
rural connectivity	5
recipient borrower	5
standard general	5
stockage et	5
avian flu	5
improve value	5
reduce land	5
los cuales	5
ikugh inlet	5
grant applications	5
de performances	5
shall carry	5
partner programs	5
individual beneficiaries	5
th place	5
crop extension	5
productivity programme	5
document fn	5
key strategic	5
maintenance mechanism	5
reduced greenhouse	5
country fiduciary	5
matrix seem	5
plan overall	5
increasing employment	5
generate jobs	5
operating methods	5
substantial risk	5
lo siguiente	5
scale value	5
governmental organisations	5
rural energy	5
take steps	5
animal waste	5
project fits	5
land distribution	5
la ley	5
use change	5
project takes	5
manage potential	5
developmental projects	5
coastal aquaculture	5
following actions	5
fund project	5
disclosure lesotho	5
specific location	5
young promoters	5
new institutional	5
generating income	5
travaux ht	5
regarding working	5
schematic designs	5
poor water	5
million gobf	5
south kordofan	5
first operation	5
borrower must	5
bid invitations	5
acceleration phase	5
greatest potential	5
major interventions	5
avian influenza	5
address market	5
thom province	5
market participation	5
modernization fund	5
based development	5
economic hardship	5
circular economy	5
illiteracy rate	5
productivity per	5
business enabling	5
tax allotments	5
monitoring survey	5
expand existing	5
la population	5
sliding gates	5
mainstreaming gender	5
farmers willing	5
targeted subsector	5
los ingresos	5
mining activities	5
supporting private	5
flood risks	5
beef production	5
respect political	5
local resources	5
anticipated negative	5
sub projects	5
rcfis will	5
million err	5
political risk	5
inclusive manner	5
cocoa farmers	5
agricoles de	5
level grievance	5
declined significantly	5
additional costs	5
environmental policy	5
climate safeguard	5
resettlement will	5
alternative income	5
technical areas	5
major sources	5
budgetary resources	5
live weight	5
top priority	5
local monitoring	5
food smes	5
aux besoins	5
april project	5
two operations	5
dispositifs de	5
de cuencas	5
negatively affecting	5
adequate due	5
disaster risks	5
inadequate agricultural	5
ranked among	5
regional centers	5
rate remains	5
new sustainable	5
education level	5
creating opportunities	5
customs revenue	5
processing center	5
various government	5
management center	5
community improvement	5
des plateformes	5
aimu will	5
agricultural budget	5
life skills	5
provide improved	5
average gross	5
paiement au	5
based financing	5
term environmental	5
pcu shall	5
ei crosscutting	5
intensive works	5
chain approaches	5
consultancy firms	5
agribusiness sectors	5
including without	5
project goods	5
thousand us	5
coordination meetings	5
institutional risks	5
africa jun	5
rate floating	5
current institutional	5
markets including	5
use changes	5
state agency	5
develop ment	5
structures involved	5
le modifier	5
support needed	5
fy fy	5
project sub	5
family production	5
caadp comprehensive	5
un monto	5
paavo eliste	5
technical references	5
growth performance	5
quelconque des	5
subsequent pbas	5
humanitarian affairs	5
cause significant	5
resilient use	5
information service	5
southern tropical	5
pa will	5
economist rdgw	5
outcomes outcome	5
shelling units	5
effectiveness february	5
major development	5
vital role	5
enhance project	5
female labour	5
often lack	5
active projects	5
psta priority	5
enable stakeholders	5
solliciter des	5
bancoumana agro	5
especially since	5
quantity control	5
digital financial	5
gvt afdb	5
cash income	5
bolivian government	5
central equatoria	5
effectiveness november	5
tanzanian shilling	5
les missions	5
includes key	5
industrial superstructure	5
even point	5
la banque	5
effective days	5
low growth	5
reliable financial	5
works icb	5
audit observations	5
large majority	5
building needs	5
vegetable products	5
completion point	5
macroeconomic instability	5
grant conditions	5
fuentes de	5
dli targets	5
see component	5
persistent poverty	5
women trained	5
offers opportunities	5
also required	5
integration strategy	5
infrastructure necessary	5
integrate climate	5
total subsidy	5
community investment	5
fonds national	5
activities using	5
procedures outlined	5
sustainable soil	5
timely information	5
group policy	5
also one	5
seven million	5
commercial viability	5
pumping stations	5
three pilot	5
del sistema	5
three technical	5
instruments used	5
en vigor	5
decisions related	5
exp ert	5
warehousing facilities	5
chief gender	5
unidad para	5
sectors selected	5
project safeguard	5
administrative regions	5
rural wages	5
large parts	5
regional facilitation	5
goods services	5
annual accounts	5
resource rights	5
owned agricultural	5
poverty fell	5
budget planning	5
results financing	5
increase public	5
dry aez	5
per square	5
also incorporate	5
access markets	5
capacity gaps	5
term vision	5
il est	5
sector exports	5
including irrigation	5
shopping based	5
international economic	5
policies vi	5
kongo central	5
financing gaps	5
banco de	5
objectifs et	5
seed supply	5
major positive	5
disaggregated indicators	5
project technical	5
soft infrastructure	5
upper catchment	5
surveys monitoring	5
bank colombia	5
resources conservation	5
generated using	5
means human	5
disbursed loan	5
targeting mechanisms	5
three projects	5
government offices	5
see paragraph	5
livestock units	5
new generation	5
global environmental	5
economic size	5
actions undertaken	5
income security	5
improve overall	5
extension linkages	5
market structures	5
gender discrimination	5
randomized control	5
signature par	5
community consultations	5
original pdo	5
demonstration farms	5
onlending agreement	5
idb group	5
awareness creation	5
pidisdsa note	5
important agricultural	5
de pobreza	5
borrowing country	5
challenges including	5
safeguards action	5
jiangxi province	5
william skinner	5
significant strides	5
clear procedures	5
dairy farmers	5
human immunodeficiency	5
temperature increase	5
food diversification	5
component iii	5
major weaknesses	5
specific weaknesses	5
market trends	5
youth entrepreneurs	5
trade flows	5
deficiency syndrome	5
european investment	5
available water	5
national representation	5
term reports	5
amount per	5
composante sera	5
improvement program	5
important sur	5
express interest	5
considered low	5
food staples	5
well targeted	5
chief technical	5
support market	5
information provided	5
community tensions	5
provinces shall	5
lake water	5
feed stores	5
organize training	5
national counterparts	5
account climate	5
operational priorities	5
new investment	5
performance reports	5
schedule special	5
project work	5
names used	5
im plem	5
improved value	5
seeds development	5
food sub	5
implemented using	5
processing areas	5
providing financial	5
conditions climatiques	5
hulling machines	5
et si	5
large commercial	5
modernizing agriculture	5
ordu province	5
pumped irrigation	5
performance evaluation	5
initiative will	5
national environment	5
national validation	5
centre will	5
facilitation programme	5
supreme audit	5
hinterland areas	5
sector agropecuario	5
increased household	5
ment baseline	5
domaine de	5
interventions may	5
enhance pastoralists	5
problematic projects	5
asset base	5
finance works	5
coming decades	5
boost exports	5
redi ii	5
iv implementation	5
currently supporting	5
established value	5
place des	5
regulatory reforms	5
program including	5
income status	5
cereal banks	5
national stakeholders	5
de asignaciones	5
lake balaton	5
implementation guidelines	5
es salaam	5
million project	5
vientiane province	5
woody biomass	5
agencies department	5
la gouvernance	5
remunerative markets	5
restrict access	5
fisheries sectors	5
ii eb	5
new area	5
per drop	5
tuna fisheries	5
country risk	5
af activities	5
severe moderate	5
agricultural education	5
preparation fund	5
require special	5
couvrir les	5
growth programme	5
wide approach	5
sectors targeted	5
steady decline	5
active women	5
programmatic approach	5
life cycle	5
economic participation	5
monitoring tools	5
directly involved	5
aiyl okmotu	5
audit requirements	5
activities promoted	5
support young	5
supply channels	5
services within	5
raising productivity	5
series supports	5
irrigated agricultural	5
productive sector	5
separate bank	5
idb inter	5
technical assistants	5
crop farming	5
made progress	5
despite efforts	5
detailed results	5
chief financial	5
dams will	5
million viii	5
securing land	5
collective actions	5
imf staff	5
synergies among	5
low intensity	5
early warnings	5
pregnant women	5
low status	5
timeframes specified	5
significant support	5
training plan	5
community economic	5
service delegations	5
expected negative	5
priority schemes	5
global gender	5
year horizon	5
financial feasibility	5
provide reliable	5
also identifies	5
infrastructure bottlenecks	5
bank reserves	5
ensuring adequate	5
towards building	5
emergency recovery	5
area integrated	5
customary rights	5
local structures	5
enhancing market	5
management table	5
efficient public	5
country remains	5
developing monitoring	5
crisis prevention	5
legally permissible	5
waste transportation	5
en funcionamiento	5
finance three	5
amadou oumar	5
contrepartie pour	5
development grant	5
los procesos	5
risk assessments	5
framework date	5
two silos	5
recent trends	5
agribusiness firms	5
income year	5
loan applications	5
conclues le	5
le droit	5
strengthening fiscal	5
also worth	5
generate information	5
eight percent	5
current prodaf	5
various studies	5
biannuelle antenne	5
uganda ifad	5
slower pace	5
remain low	5
following issues	5
descendant communities	5
procurement arrangement	5
tracking table	5
farm extension	5
measurement baseline	5
efficient growth	5
resource efficient	5
technical documents	5
evaluation committee	5
final version	5
will feed	5
december distribution	5
dpl series	5
indicators indicators	5
milk processing	5
access finance	5
will vary	5
price contingency	5
governance risks	5
eastern black	5
final year	5
readily available	5
year time	5
strong government	5
reports quarterly	5
hardest hit	5
benefits accruing	5
impacts expected	5
project villages	5
crop cultivation	5
increase employment	5
road improvement	5
catalytic role	5
structure consists	5
gouvernement et	5
saneamiento de	5
owned company	5
du cnps	5
manual de	5
production sold	5
yearly reports	5
milieu rural	5
whose composition	5
dar es	5
reasonable assurance	5
social project	5
date information	5
cadres de	5
cultural assets	5
monitoring teams	5
congo agriculture	5
million sources	5
name india	5
cluster development	5
benefit female	5
sea levels	5
respective roles	5
dietary energy	5
im po	5
energy bill	5
gobiernos provinciales	5
market knowledge	5
highly likely	5
dry land	5
conversion guidelines	5
shall finance	5
limited human	5
pacific country	5
protection sector	5
conclu entre	5
punjab agriculture	5
original closing	5
borrower beneficiary	5
thereby contribute	5
integrated safeguard	5
fish processing	5
budgetary allocation	5
operating expenditure	5
project transactions	5
per producer	5
services aux	5
supply infrastructure	5
quarterly interim	5
control unit	5
safeguard specialists	5
extension policy	5
sera ouvert	5
management processes	5
ub total	5
productive use	5
eu masterplan	5
themes country	5
preparatory surveys	5
economic stability	5
assessment results	5
key members	5
processing operators	5
enable njala	5
reference rate	5
working relationship	5
local companies	5
ffs activities	5
project infrastructure	5
conduct program	5
appropriate management	5
finance capacity	5
associated costs	5
already exist	5
risk financing	5
programmatic series	5
verification frequency	5
software package	5
first development	5
grant ofid	5
including economic	5
dedicated services	5
garry charlier	5
schools kindergartens	5
early recovery	5
mad billion	5
framework plan	5
built around	5
waemu banking	5
qualifications acceptable	5
autonomous area	5
nutrition et	5
youth development	5
de revue	5
manage natural	5
coordonnateur et	5
environmental factors	5
first priority	5
research center	5
projet sur	5
soil type	5
cost schedule	5
limited land	5
total renewable	5
water used	5
capital project	5
per region	5
primary project	5
agriculture gdp	5
consultative framework	5
agricultural crops	5
structural constraints	5
se considera	5
secondary level	5
preparation advance	5
second half	5
social registry	5
greater number	5
mostly women	5
main cash	5
mechanization services	5
technical adviser	5
training sector	5
first years	5
better living	5
dans une	5
climatic information	5
data show	5
de groupements	5
leurs organisations	5
various existing	5
total expenditures	5
national medium	5
various crops	5
submit semiannual	5
criteria analysis	5
increasingly frequent	5
strategic shifts	5
three categories	5
annum payable	5
within moa	5
des exploitations	5
detailed technical	5
esmf contains	5
real sectors	5
total operation	5
cao bang	5
decision substantial	5
program targets	5
adopt new	5
region east	5
trade integration	5
farming families	5
project experience	5
measurement indicators	5
gender responsiveness	5
plan execution	5
complex works	5
leading role	5
capacity needs	5
factors contributing	5
territorial planning	5
improving pastoral	5
une meilleure	5
sustainable market	5
rural dwellers	5
providing capacity	5
et commerciale	5
three value	5
tank irrigation	5
cambio rural	5
social ahhd	5
farmer beneficiaries	5
traditional authorities	5
bank approval	5
la route	5
service facilities	5
support smallholder	5
investment bank	5
reference prices	5
yes labor	5
political inclusion	5
des animateurs	5
resource endowments	5
find procedure	5
common market	5
operating period	5
technologies selected	5
economic values	5
emerging market	5
agribusiness investments	5
providing assistance	5
des travaux	5
diverse agro	5
million afdb	5
increased since	5
overall debt	5
risk due	5
training manuals	5
despite recent	5
including grievance	5
legal certainty	5
value will	5
du burundi	5
will exclude	5
un appui	5
increase agriculture	5
component shall	5
still one	5
will diversify	5
entienden los	5
sufficient capacity	5
connectivity project	5
flow gave	5
generate negative	5
les membres	5
gambia climate	5
current public	5
global food	5
policies across	5
fish productivity	5
marketable surplus	5
program data	5
security fund	5
pi program	5
resilience fund	5
support poverty	5
iron ore	5
nutrient dense	5
romina kirkagacli	5
also requested	5
key source	5
bank africa	5
fragility drivers	5
project therefore	5
costs unallocated	5
strengthening farmers	5
semestrielle urgp	5
business incubator	5
mineral wealth	5
government veterinary	5
combined effects	5
project municipalities	5
agricultural organisations	5
among beneficiaries	5
business planning	5
land holding	5
may change	5
uganda africa	5
different agro	5
made efforts	5
audit services	5
separate account	5
traders trained	5
activities likely	5
acquired immune	5
collaborative approach	5
robust private	5
systems installed	5
investment capital	5
easier access	5
selected themes	5
flexible loan	5
two surveys	5
change requires	5
absolute number	5
private firms	5
also identify	5
electricity interconnection	5
domestic water	5
ou risque	5
irrigable area	5
following additional	5
watersheds targeted	5
services provision	5
will train	5
contingencies financial	5
underserved areas	5
ranking th	5
key positions	5
safeguard implementation	5
market outcomes	5
three core	5
moroccan agriculture	5
pilot basis	5
frgc series	5
concrete decay	5
structuration communautaire	5
building partnerships	5
moali departments	5
harvest practices	5
previous advance	5
loans sf	5
de mettre	5
economic efficiency	5
dispositions de	5
basic products	5
regular maintenance	5
des chaines	5
youth access	5
unidades de	5
seed industry	5
also provided	5
dire dawa	5
income poverty	5
development gaps	5
programme feasibility	5
reduce production	5
logistics services	5
safeguards policy	5
making tools	5
united state	5
agricultural purposes	5
relevant authorities	5
social empowerment	5
present report	5
les besoins	5
free trade	5
union network	5
ert pm	5
protective equipment	5
wheat reserves	5
cover recurrent	5
involve significant	5
officers will	5
existing rcfis	5
arabic producers	5
ressources naturelles	5
also set	5
com ministry	5
development investments	5
improved practices	5
ensure availability	5
larger share	5
agriculture performance	5
pmu moa	5
based enterprises	5
local needs	5
du territoire	5
inland fisheries	5
le pilotage	5
term debt	5
research council	5
effort will	5
will lower	5
productive agricultural	5
hill irrigation	5
del fondo	5
specific aspects	5
exp erts	5
et titre	5
donor interventions	5
energy solutions	5
es de	5
staff members	5
costs generated	5
plan national	5
health impacts	5
climatiques et	5
million timeframe	5
measures risks	5
ongoing reforms	5
cuadro de	5
qualified financial	5
may potentially	5
trade competitiveness	5
component also	5
ineligible persons	5
safety systems	5
pilotage et	5
improved agronomic	5
indigenous territories	5
namely feed	5
financial obligations	5
intervention zones	5
public institution	5
grant contribution	5
compte des	5
average increase	5
infrastructure may	5
requirements substantially	5
formal request	5
since early	5
across different	5
appraisal document	5
building projects	5
end dam	5
related concerns	5
double cropping	5
eligibility criterion	5
success stories	5
programme beneficiaries	5
apprenticeship training	5
indirect positive	5
including soil	5
shadow prices	5
procesos de	5
important financial	5
el cambio	5
already included	5
august distribution	5
additional workload	5
family labor	5
fully used	5
overall disbursement	5
fast track	5
submit semi	5
including input	5
change communication	5
rate used	5
significantly reducing	5
les trois	5
ph management	5
works execution	5
fuel wood	5
main roads	5
van nieuwkoop	5
new procurement	5
large proportion	5
recherche agronomique	5
encouraging farmers	5
capacity remains	5
project tsf	5
growing rapidly	5
several challenges	5
mograne school	5
solar power	5
farming equipment	5
programme budgets	5
agreement accord	5
territoire de	5
remises en	5
services needed	5
mobile phone	5
extension will	5
social clauses	5
high food	5
remove constraints	5
date signature	5
funds flow	5
ut ho	5
will potentially	5
move forward	5
esia will	5
degrade natural	5
year st	5
raising campaigns	5
smallholder commercialization	5
supporting infrastructure	5
provide ta	5
strong demand	5
development including	5
user services	5
yet available	5
may request	5
financing environment	5
loans oc	5
operation development	5
forest sector	5
industrialization policy	5
guidelines will	5
create synergies	5
global economic	5
analytical studies	5
strong correlation	5
letter will	5
also improved	5
los planes	5
systems assessment	5
rural microenterprises	5
sudan project	5
safety impacts	5
yes given	5
increase electricity	5
soil conditions	5
actively involved	5
risks inherent	5
rate spread	5
delivery platform	5
green governance	5
fiscal adjustment	5
response systems	5
closing pmu	5
coping mechanisms	5
supervision company	5
responsables de	5
raise rural	5
fiscal expenditure	5
international norms	5
dialogue politique	5
existing pcu	5
pessimistic scenario	5
framework programme	5
policies including	5
moderate level	5
huge potential	5
proposed phase	5
series will	5
change fund	5
live births	5
main pillars	5
innovative business	5
lending banks	5
comprises four	5
core public	5
highest population	5
sand ridge	5
chain coordination	5
site visits	5
general principles	5
office supplies	5
scale public	5
fiscal revenues	5
market roads	5
five year	5
production yields	5
promote agribusiness	5
valley rural	5
operational arrangements	5
rate agreed	5
powered water	5
regional division	5
insumos para	5
warehouse receipts	5
agriculture component	5
des composantes	5
senior government	5
guidance centres	5
bank experts	5
generate financial	5
extension models	5
reference previously	5
aura pour	5
phimpleagencys ection	5
les clauses	5
domestic investment	5
officer iv	5
grtd grant	5
baseline completion	5
per project	5
saving irrigation	5
informed decisions	5
political dialogue	5
travers des	5
pasta project	5
take part	5
provide funding	5
south america	5
farmer households	5
lending policies	5
jennifer doherty	5
harvest segments	5
revitalize crop	5
afdb procurement	5
currency denominated	5
pumping station	5
national boundaries	5
russian federation	5
salazar et	5
infrastructure ua	5
average rates	5
technical reports	5
subnational level	5
key local	5
sector driven	5
timoteo bila	5
opportunities offered	5
vii results	5
providing adequate	5
projet annuelle	5
households headed	5
des imf	5
million due	5
procurement items	5
global practices	5
agriculture agribusiness	5
assess potential	5
ruraux ayant	5
women make	5
growth slowed	5
state bank	5
ivorian government	5
also considered	5
supporting policies	5
significantly contribute	5
enhancing investments	5
engagement mechanism	5
town councils	5
social level	5
basada en	5
year grace	5
procedures established	5
change risk	5
additional revenue	5
bank name	5
horticultural production	5
national fertilizer	5
reforms initiated	5
land insecurity	5
resources available	5
development around	5
cooperate fully	5
learning tools	5
activity report	5
relevant mitigation	5
better market	5
sector portfolio	5
greater attention	5
current country	5
expand access	5
deux fois	5
male counterparts	5
line departments	5
will flow	5
du prodaf	5
commune level	5
standard conditions	5
increasing private	5
necessary coating	5
sector mobilisation	5
six million	5
studies show	5
project actions	5
component focuses	5
sahelian zone	5
three results	5
data base	5
owned businesses	5
vi appendix	5
including infrastructure	5
national integrated	5
relevant implementing	5
tariff policy	5
fiscal position	5
poverty targeting	5
manager tel	5
related risk	5
responsibility will	5
international labor	5
economic developments	5
education outcomes	5
agriculture advisory	5
la cellule	5
improve farmers	5
form ghana	5
making positions	5
bank iii	5
benefits npv	5
prepared prior	5
ensure adherence	5
launching workshop	5
drip sprinkler	5
food sectors	5
experimental approach	5
include inter	5
corporate loan	5
degraded landscapes	5
achieve economic	5
downstream impacts	5
train farmers	5
root crops	5
added tax	5
social inequalities	5
projects sector	5
increase transparency	5
scale agro	5
scale impact	5
management scheme	5
gdp formation	5
taat initiative	5
leading group	5
formal employment	5
partenariat op	5
el gobierno	5
hunger index	5
party holder	5
small amounts	5
financing structures	5
bet technologies	5
value horticulture	5
habitat resilience	5
improved performance	5
